"EDV,lv","EDP,lv","pEndIVC,lv","pMax,lv","ESV,lv","pEndEj,lv","EDV,rv","EDP,rv","pEndIVC,rv","pMax,rv","ESV,rv","pEndEj,rv","EDV,aWave,la","pMax,aWave,la","ESV,aWave,la","VMax,vWave,la","pMax,vWave,la","ESV,vWave,la","pMin,vWave,la","EDV,aWave,ra","pMax,aWave,ra","ESV,aWave,ra","VMax,vWave,ra","pMax,vWave,ra","ESV,vWave,ra","pMin,vWave,ra"
147.42,10.35,75.62,125.96,76.43,100.51,112.19,3.9,17.8,31.2,41.15,13.69,66.96,13.73,30.11,70.98,7.58,50.86,2.35,53.56,6.45,27.63,62.98,2.69,37.63,-0.41
129.5,6.24,50.81,113.07,76.91,92.28,88.81,1.79,12.11,21.95,36.6,7.44,55.64,11.26,26.0,64.76,4.91,46.19,1.19,44.74,3.9,29.63,55.84,1.45,31.15,-0.96
173.23,10.52,62.61,125.99,82.03,93.26,132.65,3.54,19.26,33.34,41.78,12.52,70.1,17.05,28.84,84.0,9.83,54.2,2.59,50.84,6.7,29.45,70.66,3.24,41.5,0.0
143.47,8.25,85.08,118.46,70.71,89.29,112.82,3.45,16.35,30.94,40.22,10.69,61.79,13.4,26.91,67.67,6.81,45.56,1.32,51.59,6.37,24.89,64.0,2.96,37.61,-0.43
168.69,13.54,73.74,134.5,69.31,96.7,135.58,4.76,21.8,37.1,36.09,12.34,74.13,16.5,33.42,83.22,11.77,52.35,2.66,60.53,8.44,28.78,71.47,4.05,40.12,-0.14
190.99,14.27,60.98,141.17,95.93,111.77,140.29,5.72,20.67,36.41,44.67,13.77,74.03,17.48,29.78,83.51,10.2,58.8,3.66,54.81,7.54,26.95,73.63,3.85,43.63,0.21
126.83,6.09,72.93,115.3,75.54,96.2,87.88,2.65,13.43,22.32,36.66,8.18,53.76,10.3,26.84,59.18,4.34,44.2,1.0,45.24,4.11,27.7,54.58,1.55,30.13,-1.23
124.89,6.29,48.52,113.42,76.4,93.44,83.21,1.5,11.57,20.0,35.27,6.97,53.19,10.99,26.89,57.38,4.37,44.67,1.23,43.89,3.97,28.6,53.73,1.61,28.2,-1.64
169.86,12.12,81.53,120.55,78.34,88.73,137.14,5.04,19.1,35.09,45.7,13.73,70.63,15.02,33.0,81.55,12.19,52.79,3.0,56.68,7.06,29.79,71.03,4.34,44.69,0.37
165.02,12.16,82.38,120.0,83.93,89.97,125.76,4.28,16.64,32.0,44.74,11.83,68.01,15.89,30.7,81.79,12.58,52.19,2.96,54.51,7.23,27.89,65.41,3.43,42.09,0.07
141.66,7.73,73.62,113.91,85.41,93.76,95.4,3.18,13.37,22.62,39.29,8.37,58.47,11.5,27.56,65.44,5.58,49.17,1.87,47.19,4.52,27.8,57.75,1.83,33.66,-0.78
158.0,9.71,67.47,134.15,80.8,111.53,116.96,3.46,18.67,32.25,39.83,12.89,65.97,15.98,27.8,76.72,7.94,52.29,2.31,52.04,7.05,24.8,67.97,2.96,37.13,-0.41
179.77,15.49,73.37,129.81,87.74,95.81,128.21,5.83,17.87,30.73,36.21,8.85,72.3,17.16,28.75,84.01,10.16,54.59,2.75,56.29,7.86,23.49,70.59,3.34,37.13,-0.41
180.13,18.02,77.8,121.46,85.08,93.19,147.19,7.67,18.56,38.38,52.05,14.41,75.0,16.61,31.29,94.89,12.62,56.99,2.91,57.73,8.14,28.12,75.53,3.69,45.99,0.39
