max_def,weight
0.57,29.41
0.81,32.14
0.06,57.98
0.06,57.98
0.81,32.14
0.08,63.36
0.12,62.43
0.05,50.67
0.58,38.53
0.58,38.53
0.05,50.67
0.25,31.27
0.34,51.44
0.28,48.84
0.08,86.67
0.08,86.67
0.28,48.84
0.07,82.28
0.06,71.51
0.04,67.36
0.15,49.21
0.15,49.21
0.04,67.36
0.12,46.36
0.11,49.74
0.09,46.75
0.21,41.04
0.21,41.04
0.09,46.75
0.16,38.57
0.07,86.59
0.05,82.06
0.09,76.59
0.09,76.59
0.05,82.06
0.07,72.58
0.4,39.71
0.31,37.49
1.31,30.36
1.31,30.36
0.31,37.49
1.05,28.66
0.04,57.86
0.11,72.8
0.07,49.81
0.07,49.81
0.11,72.8
0.17,62.67
0.25,32.33
0.25,32.2
0.08,44.89
0.08,44.89
0.25,32.2
0.08,44.7
0.08,64.86
0.08,64.63
0.05,79.47
0.05,79.47
0.08,64.63
0.05,79.18
0.21,54.83
0.12,47.46
0.54,41.3
0.54,41.3
0.12,47.46
0.3,35.74
0.04,72.98
0.07,83.71
0.06,61.23
0.06,61.23
0.07,83.71
0.1,70.23
0.22,42.87
0.28,45.82
0.09,56.96
0.09,56.96
0.28,45.82
0.12,60.89
0.1,79.22
0.04,63.87
1.42,35.12
1.42,35.12
0.04,63.87
0.6,28.32
1.28,31.88
1.64,33.93
0.07,75.21
0.07,75.21
1.64,33.93
0.09,80.04
0.07,51.94
0.1,55.8
0.15,40.63
0.15,40.63
0.1,55.8
0.2,43.65
0.12,41.99
0.31,53.55
1.06,24.92
1.06,24.92
0.31,53.55
2.77,31.78
0.06,76.44
0.05,73.51
0.14,56.64
0.14,56.64
0.05,73.51
0.12,54.47
0.94,37.24
0.81,35.9
0.42,45.72
0.42,45.72
0.81,35.9
0.36,44.08
0.08,58.26
0.07,55.86
0.06,65.64
0.06,65.64
0.07,55.86
0.05,62.94
1.54,25.02
1.76,25.87
0.04,69.43
0.04,69.43
1.76,25.87
0.04,71.8
0.16,57.56
