span,depth,max_def,weight
3.22,0.297,0.57,29.41
3.519,0.297,0.81,32.14
3.22,0.877,0.06,57.98
3.22,0.877,0.06,57.98
3.519,0.297,0.81,32.14
3.519,0.877,0.08,63.36
3.72,0.797,0.12,62.43
3.019,0.797,0.05,50.67
3.72,0.377,0.58,38.53
3.72,0.377,0.58,38.53
3.019,0.797,0.05,50.67
3.019,0.377,0.25,31.27
3.97,0.547,0.34,51.44
3.769,0.547,0.28,48.84
3.97,1.127,0.08,86.67
3.97,1.127,0.08,86.67
3.769,0.547,0.28,48.84
3.769,1.127,0.07,82.28
3.47,1.047,0.06,71.51
3.269,1.047,0.04,67.36
3.47,0.627,0.15,49.21
3.47,0.627,0.15,49.21
3.269,1.047,0.04,67.36
3.269,0.627,0.12,46.36
3.345,0.672,0.11,49.74
3.144,0.672,0.09,46.75
3.345,0.502,0.21,41.04
3.345,0.502,0.21,41.04
3.144,0.672,0.09,46.75
3.144,0.502,0.16,38.57
3.845,1.172,0.07,86.59
3.644,1.172,0.05,82.06
3.845,1.002,0.09,76.59
3.845,1.002,0.09,76.59
3.644,1.172,0.05,82.06
3.644,1.002,0.07,72.58
3.595,0.422,0.4,39.71
3.394,0.422,0.31,37.49
3.595,0.252,1.31,30.36
3.595,0.252,1.31,30.36
3.394,0.422,0.31,37.49
3.394,0.252,1.05,28.66
3.095,0.922,0.04,57.86
3.894,0.922,0.11,72.8
3.095,0.752,0.07,49.81
3.095,0.752,0.07,49.81
3.894,0.922,0.11,72.8
3.894,0.752,0.17,62.67
3.063,0.39,0.25,32.33
3.05,0.39,0.25,32.2
3.063,0.658,0.08,44.89
3.063,0.658,0.08,44.89
3.05,0.39,0.25,32.2
3.05,0.658,0.08,44.7
3.563,0.89,0.08,64.86
3.55,0.89,0.08,64.63
3.563,1.158,0.05,79.47
3.563,1.158,0.05,79.47
3.55,0.89,0.08,64.63
3.55,1.158,0.05,79.18
3.813,0.64,0.21,54.83
3.3,0.64,0.12,47.46
3.813,0.408,0.54,41.3
3.813,0.408,0.54,41.3
3.3,0.64,0.12,47.46
3.3,0.408,0.3,35.74
3.313,1.14,0.04,72.98
3.8,1.14,0.07,83.71
3.313,0.908,0.06,61.23
3.313,0.908,0.06,61.23
3.8,1.14,0.07,83.71
3.8,0.908,0.1,70.23
3.438,0.515,0.22,42.87
3.675,0.515,0.28,45.82
3.438,0.783,0.09,56.96
3.438,0.783,0.09,56.96
3.675,0.515,0.28,45.82
3.675,0.783,0.12,60.89
3.938,1.015,0.1,79.22
3.175,1.015,0.04,63.87
3.938,0.283,1.42,35.12
3.938,0.283,1.42,35.12
3.175,1.015,0.04,63.87
3.175,0.283,0.6,28.32
3.688,0.265,1.28,31.88
3.925,0.265,1.64,33.93
3.688,1.033,0.07,75.21
3.688,1.033,0.07,75.21
3.925,0.265,1.64,33.93
3.925,1.033,0.09,80.04
3.188,0.765,0.07,51.94
3.425,0.765,0.1,55.8
3.188,0.533,0.15,40.63
3.188,0.533,0.15,40.63
3.425,0.765,0.1,55.8
3.425,0.533,0.2,43.65
3.126,0.578,0.12,41.99
3.987,0.578,0.31,53.55
3.126,0.221,1.06,24.92
3.126,0.221,1.06,24.92
3.987,0.578,0.31,53.55
3.987,0.221,2.77,31.78
3.626,1.078,0.06,76.44
3.487,1.078,0.05,73.51
3.626,0.721,0.14,56.64
3.626,0.721,0.14,56.64
3.487,1.078,0.05,73.51
3.487,0.721,0.12,54.47
3.876,0.328,0.94,37.24
3.737,0.328,0.81,35.9
3.876,0.471,0.42,45.72
3.876,0.471,0.42,45.72
3.737,0.328,0.81,35.9
3.737,0.471,0.36,44.08
3.376,0.828,0.08,58.26
3.237,0.828,0.07,55.86
3.376,0.971,0.06,65.64
3.376,0.971,0.06,65.64
3.237,0.828,0.07,55.86
3.237,0.971,0.05,62.94
3.251,0.203,1.54,25.02
3.362,0.203,1.76,25.87
3.251,1.096,0.04,69.43
3.251,1.096,0.04,69.43
3.362,0.203,1.76,25.87
3.362,1.096,0.04,71.8
3.751,0.703,0.16,57.56
3.862,0.703,0.18,59.26
3.751,0.596,0.23,51.42
3.751,0.596,0.23,51.42
3.862,0.703,0.18,59.26
3.862,0.596,0.26,52.94
3.501,0.453,0.31,40.33
3.112,0.453,0.19,35.85
3.501,0.846,0.09,61.38
3.501,0.846,0.09,61.38
3.112,0.453,0.19,35.85
3.112,0.846,0.05,54.56
3.001,0.953,0.04,57.53
3.612,0.953,0.08,69.24
3.001,0.346,0.3,29.66
3.001,0.346,0.3,29.66
3.612,0.953,0.08,69.24
3.612,0.346,0.63,35.7
3.001,0.576,0.1,40.22
3.448,0.576,0.17,46.21
3.001,0.687,0.07,45.31
3.001,0.687,0.07,45.31
3.448,0.576,0.17,46.21
3.448,0.687,0.12,52.06
3.501,1.076,0.05,73.7
3.948,1.076,0.09,83.11
3.501,1.187,0.05,79.64
3.501,1.187,0.05,79.64
3.948,1.076,0.09,83.11
3.948,1.187,0.07,89.81
3.751,0.326,0.84,35.92
3.198,0.326,0.44,30.63
3.751,0.437,0.43,42.29
3.751,0.437,0.43,42.29
3.198,0.326,0.44,30.63
3.198,0.437,0.23,36.06
3.251,0.826,0.07,56
3.698,0.826,0.11,63.7
3.251,0.937,0.05,61.52
3.251,0.937,0.05,61.52
3.698,0.826,0.11,63.7
3.698,0.937,0.09,69.98
3.376,0.201,1.83,25.88
3.823,0.201,3,29.3
3.376,0.812,0.08,57.43
3.376,0.812,0.08,57.43
3.823,0.201,3,29.3
3.823,0.812,0.13,65.04
3.876,0.701,0.19,59.36
3.323,0.701,0.1,50.89
3.876,0.312,1.06,36.29
3.876,0.312,1.06,36.29
3.323,0.701,0.1,50.89
3.323,0.312,0.57,31.11
3.626,0.451,0.35,41.66
3.573,0.451,0.33,41.05
3.626,1.062,0.06,75.55
3.626,1.062,0.06,75.55
3.573,0.451,0.33,41.05
3.573,1.062,0.06,74.45
3.126,0.951,0.04,59.83
3.073,0.951,0.04,58.81
3.126,0.562,0.12,41.22
3.126,0.562,0.12,41.22
3.073,0.951,0.04,58.81
3.073,0.562,0.12,40.52
3.189,0.389,0.29,33.61
3.51,0.389,0.43,37
3.189,0.249,0.84,26.78
3.189,0.249,0.84,26.78
3.51,0.389,0.43,37
3.51,0.249,1.23,29.48
3.689,0.889,0.1,67.1
3.01,0.889,0.04,54.75
3.689,0.749,0.13,59.2
3.689,0.749,0.13,59.2
3.01,0.889,0.04,54.75
3.01,0.749,0.06,48.3
3.939,0.639,0.24,56.58
3.76,0.639,0.2,54.01
3.939,0.499,0.4,48.15
3.939,0.499,0.4,48.15
3.76,0.639,0.2,54.01
3.76,0.499,0.33,45.96
3.439,1.139,0.05,75.71
3.26,1.139,0.04,71.77
3.439,0.999,0.06,68.34
3.439,0.999,0.06,68.34
3.26,1.139,0.04,71.77
3.26,0.999,0.05,64.78
3.314,0.514,0.19,41.27
3.135,0.514,0.15,39.04
3.314,1.124,0.04,72.2
3.314,1.124,0.04,72.2
3.135,0.514,0.15,39.04
3.135,1.124,0.03,68.3
3.814,1.014,0.09,76.67
3.635,1.014,0.07,73.07
3.814,0.624,0.22,53.91
3.814,0.624,0.22,53.91
3.635,1.014,0.07,73.07
3.635,0.624,0.18,51.38
3.564,0.264,1.13,30.75
3.385,0.264,0.92,29.21
3.564,0.874,0.09,64.01
3.564,0.874,0.09,64.01
3.385,0.264,0.92,29.21
3.385,0.874,0.07,60.8
3.064,0.764,0.06,49.87
3.885,0.764,0.16,63.24
