lv.E_act,lv.v_ref,la.E_act,implausibility,ao.P_min,ao.P_max,ao.P_pc1,ao.P_pc2,ao.P_pc3,CO
7.527800575266054,13.275608492213243,7.5768417990284025,27.49018100951903,98.53282478156028,99.01466269007257,9.877315026860877,19.754630053721755,29.631945080582632,0.0
6.347663077724766,7.025498589708987,8.682381657645958,27.49018104048679,98.53282493749515,99.01466276012958,9.877315037687296,19.754630075374592,29.63194511306189,0.0
2.576784812505577,8.65637045318728,0.3648554526782735,108.70645240584774,98.53282245693414,99.0146618011024,9.877314874101542,19.754629748203083,29.631944622304626,119.01228913644059
17.230109551207043,2.7635692639741705,1.708024320884195,221.51292655277373,98.53282331291886,99.0146620881103,9.87731492719032,19.75462985438064,29.631944781570958,237.32471735261402
2.338519300656803,5.990806401847131,3.6927308787902686,62.38148520715904,98.53282406223413,99.01466236662881,9.877314975818678,19.754629951637355,29.631944927456033,70.42625364726382
11.010836596378457,15.055423744693696,4.620097826994373,33.272144005790196,98.53282429525473,99.01466246038217,9.877314991465239,19.754629982930478,29.63194497439572,39.89611903086423
3.8845561118098626,6.6768975843875245,10.115425256079078,27.49018106823996,98.53282506808982,99.01466282776475,9.877315047389887,19.754630094779774,29.631945142169663,0.0
13.915176313367992,7.422724856284717,7.512203609850872,27.49018101836031,98.5328248240336,99.0146627137046,9.877315029951813,19.754630059903626,29.631945089855442,0.0
18.710228300798175,0.16042167514841443,6.790383996886287,27.490180999414324,98.53282474855189,99.01466265749076,9.877315023328242,19.754630046656484,29.631945069984727,0.0
13.411006128427204,5.336114979343163,1.4020340742859119,245.1063908883363,98.53282315300787,99.01466203085681,9.877314916777474,19.754629833554947,29.631944750332423,262.06975150673895
11.69243298001259,2.116195514012855,0.5802706681239798,144.68524287525997,98.53282269074568,99.01466189020033,9.877314888002385,19.75462977600477,29.631944664007158,156.74716292722005
7.730550282931244,17.46661351357685,4.42975741679055,50.61801024505243,98.53282426369185,99.01466243972561,9.877314986933406,19.754629973866813,29.63194496080022,58.088617021778376
18.06920228426589,6.1034186106732236,5.541521805629365,27.49018094876735,98.53282449627383,99.01466255230594,9.87731500562191,19.75463001124382,29.631945016865732,1.1735434663989355
7.8999657223592195,19.99381266069434,4.373211353838823,62.088187437440034,98.53282420219284,99.01466243241354,9.877314985508235,19.75462997101647,29.631944956524706,70.11864035123396
12.534393229614505,6.332963401770453,8.176556893325902,27.4901810298469,98.53282488803076,99.01466273378301,9.87731503396756,19.75463006793512,29.631945101902684,0.0
16.104835506326754,6.396208663085181,4.841680257222743,27.490180921598682,98.53282435727023,99.01466248884886,9.877314996123664,19.754629992247327,29.631944988370993,12.655543952933375
6.407007464106731,14.209926562676873,1.4154348619332517,289.202295080512,98.53282314298164,99.01466203271754,9.877314916595354,19.75462983319071,29.631944749786065,308.3179259915561
14.063867439476885,4.054252320545904,2.3402550815873173,179.83612347147806,98.53282359478148,99.0146621849324,9.877314944806479,19.754629889612957,29.631944834419436,193.61371751750607
1.22088242607709,18.337061457636924,5.8041592155658845,27.490180949684493,98.53282449065111,99.01466256265324,9.877315005942545,19.75463001188509,29.63194501782764,8.57057927464695
14.243692673303093,10.328361799391118,8.43117830855468,27.490181032019333,98.53282489286214,99.0146627421318,9.877315034727047,19.754630069454095,29.631945104181145,0.0
3.2661214359307955,10.798023394978555,5.392556192392217,27.490180939319938,98.53282444526182,99.01466253494716,9.877315002319067,19.754630004638134,29.631945006957203,7.2909679662446765
2.9691858547805006,11.168069662606836,2.445964026798551,207.4111283960526,98.532823619417,99.01466219752058,9.877314946537895,19.75462989307579,29.631944839613688,222.53462667073535
2.032781102287473,10.647415625326351,4.451949866437851,31.106958484246125,98.5328242482982,99.01466244668816,9.877314988701139,19.754629977402278,29.63194496610342,37.625253297938904
6.407987979745817,10.712234678045435,3.515124498036103,96.62573103531838,98.53282399384744,99.01466234221074,9.877314971311103,19.754629942622206,29.63194491393331,106.34192167075115
15.580120922671325,16.056527041929883,8.815191505831796,27.490181035395167,98.53282490336755,99.01466275446276,9.87731503590725,19.7546300718145,29.63194510772175,0.0
1.1437333964650986,4.520094839180489,8.280843574209385,27.4901810339405,98.53282490998383,99.01466274222747,9.877315035398695,19.75463007079739,29.631945106196085,0.0
14.314073051087991,7.197591449326297,0.28954279142614026,71.18022323328883,98.53282245670907,99.01466178274688,9.877314870365863,19.754629740731726,29.63194461109759,79.65444794179992
5.102844311460686,3.95282752091894,3.655446350264099,56.9730713163498,98.53282405879001,99.01466236370571,9.877314975524373,19.754629951048745,29.63194492657312,64.75386130401674
1.4556725228331646,19.97458588548883,2.9423936444475784,195.72894632264772,98.53282378476958,99.01466226420678,9.87731495747573,19.75462991495146,29.631944872427194,210.28225074621358
15.557017887353988,0.381047984675178,4.999425340408879,27.490180933563053,98.53282442149123,99.01466250978208,9.877315000306442,19.754630000612885,29.63194500091933,2.676603501720102
18.869966660053997,12.902348603695284,0.17145912544645142,38.57181377610275,98.53282324778381,99.01466234651065,9.87731492341643,19.75462984683286,29.63194477024929,45.454459578347915
1.3458242145626453,6.280611666807907,6.028017627547141,27.490180969450353,98.53282459379106,99.01466259164809,9.877315012852748,19.754630025705495,29.631945038558246,0.0
5.946281787423022,13.386635493250163,0.6943461433081575,220.76459734168108,98.53282269479405,99.0146618768158,9.877314888640411,19.754629777280822,29.631944665921235,236.53986305467586
12.74782225500099,9.114021492399003,9.235298646300476,27.490181049748475,98.53282497827266,99.01466278433276,9.87731504092521,19.75463008185042,29.63194512277563,0.0
