"EDV,lv","EDP,lv","ESV,lv","pMax,lv","dp/dtMax,lv","dp/dtMin,lv","EDV,rv","EDP,rv","ESV,rv","pMax,rv","dp/dtMax,rv","dp/dtMin,rv","EDV,la","ESV,la","VMax,la","pMax,La","EDV,ra","ESV,ra","VMax,ra","pMax,ra"
132.19,2.95,81.34,64.34,728.0,-404.0,141.87,4.4,95.74,32.91,463.0,-182.0,149.5,127.5,166.98,3.06,166.41,121.4,174.93,5.53
148.4,5.01,107.2,106.62,1351.0,-684.0,130.17,2.82,92.75,27.35,454.0,-163.0,168.53,145.95,178.81,5.15,151.99,123.57,153.85,3.3
145.14,5.82,95.77,102.96,1470.0,-617.0,123.16,3.46,74.28,24.36,280.0,-126.0,176.05,143.8,188.16,5.02,153.84,121.45,158.95,3.6
144.54,11.26,90.47,140.19,2198.0,-895.0,126.46,5.24,76.07,26.37,388.0,-134.0,195.29,156.04,206.71,6.78,161.24,122.05,164.96,3.72
133.46,6.5,76.46,89.15,1402.0,-586.0,125.68,5.45,74.62,28.42,431.0,-148.0,163.41,138.97,176.34,3.87,162.89,125.96,166.24,4.7
139.96,5.65,87.9,91.7,1319.0,-556.0,125.32,3.53,78.09,23.5,274.0,-115.0,181.09,153.13,194.19,5.72,161.72,127.73,165.9,4.05
138.07,5.37,90.51,94.53,1384.0,-520.0,109.02,3.92,66.08,30.85,492.0,-147.0,191.02,149.86,191.65,4.62,159.41,124.81,171.34,4.21
158.43,6.64,120.52,108.39,1415.0,-674.0,121.86,3.12,83.86,21.54,348.0,-121.0,182.93,140.67,185.18,6.59,146.88,116.11,155.71,3.79
135.39,3.81,80.09,89.91,1448.0,-516.0,130.04,3.79,77.15,31.41,448.0,-161.0,184.72,148.72,195.42,3.9,165.56,127.1,176.44,5.09
125.63,3.48,84.4,114.0,1734.0,-715.0,133.29,2.98,96.37,27.83,461.0,-168.0,154.13,141.34,168.02,2.96,149.82,128.33,155.45,3.03
