PCa,[TRPN],Gncx,"Tref,v","TRPN50,v","nTm,v","nTRPN,v","rs,v","rw,v","Aeff,v","ku,v","ca50,v","mu,v",Iup(max),[Trpm]max,gCaL,"Tref,a","TRPN50,a","nTm,a","nTRPN,a","rs,a","rw,a","Aeff,a","phi,a","ca50,a","mu,a","CVf,v",kFEC,"CVf,a",kBB,AVdelay,Rsys,Rpulm,lAo,kAo,"a,v","bt,v","a,a","bf,a","bt,a",kperi,"EDPshift,LV","EDPunload,RV",aLvRv,TrefLvRv
0.000138603,0.0972157,0.00170448,192.077,0.323107,2.27163,2.91196,0.144754,0.582799,22.2029,0.0190002,0.579473,1.55827,0.00564989,0.0604329,0.159143,91.3749,0.497882,2.73037,2.01912,0.156114,0.656106,34.9236,1.96273,1.23822,6.43922,0.636939,1.86439,0.916368,2.94419,140.0,3.08216,2.27761,406.795,7.96233,1.08189,1.97461,1.58039,9.06808,4.47975,0.00150792,4.88149,5.60192,1.842,0.678793
0.000148519,0.0959942,0.00145021,189.457,0.238269,2.61246,2.48656,0.256462,0.362356,27.6236,0.020154,0.731824,4.12406,0.00325183,0.0388054,0.161815,118.309,0.439312,5.18993,1.6992,0.191929,0.274161,16.2033,3.14731,1.18587,8.76901,0.485886,5.57942,0.987045,5.10947,179.0,3.90023,1.10269,397.957,6.69353,1.26227,4.45609,1.54319,11.2578,2.50198,0.00133173,4.84122,3.73261,1.52289,0.908291
0.00014819,0.0777453,0.00198377,174.963,0.235012,2.20703,2.51745,0.148705,0.665117,31.1859,0.0146698,0.675757,1.90906,0.00399673,0.0667743,0.169969,113.525,0.484341,2.70454,2.94974,0.257868,0.621644,21.0785,1.53378,0.941853,10.7195,0.532341,4.78065,0.903168,3.24375,155.0,1.89444,2.0694,480.053,7.98392,0.931846,3.61082,2.1963,10.5636,2.49732,0.00182166,7.57627,7.64408,1.63401,0.562609
0.000146719,0.0779595,0.0019748,168.936,0.37153,2.82772,2.79085,0.19446,0.665364,25.6014,0.0163232,0.430774,4.12429,0.00311393,0.0369872,0.150785,88.7643,0.448904,6.38877,1.05172,0.254752,0.49454,15.8248,2.82907,1.03525,12.9109,0.767671,1.57981,0.882757,3.19297,146.0,1.54403,3.92384,401.491,9.66266,1.30272,2.89329,2.22896,9.45171,3.09368,0.00106535,4.2081,3.44595,1.73239,0.826024
0.000109386,0.111965,0.00116048,175.621,0.200424,2.6547,2.44994,0.140134,0.62375,26.8253,0.0259639,0.77483,2.07783,0.00531419,0.0739236,0.104105,115.034,0.467511,6.15881,1.95834,0.197598,0.742475,18.649,1.46978,0.707706,7.56471,0.521885,4.82747,0.913629,5.00816,146.0,1.22142,1.65465,387.34,8.76121,1.48987,2.11102,2.16284,5.73293,4.13233,0.00122697,8.84453,7.33672,1.6917,0.915956
0.000130365,0.0918339,0.00117889,188.139,0.463279,2.44673,2.77954,0.324894,0.498379,17.4021,0.0209138,0.55464,4.02244,0.00767018,0.100138,0.179296,92.5783,0.477785,6.62809,1.33793,0.226757,0.514226,23.3807,3.09233,1.20216,6.01447,0.766335,1.7414,1.00014,1.76089,121.0,2.37766,1.86561,343.549,9.2515,0.857383,2.06664,2.16287,9.28804,4.35953,0.00124478,6.93703,3.76796,1.50088,0.829221
0.000131558,0.105996,0.00145815,172.53,0.197047,2.52617,2.77853,0.235232,0.569177,29.096,0.0291809,0.681519,3.21071,0.00501633,0.0689541,0.188492,87.8828,0.501378,5.40216,1.29475,0.227247,0.607917,22.0936,3.04996,1.09405,6.22306,0.506065,2.8881,0.775079,4.74113,118.0,1.68868,1.10908,388.467,6.77245,1.35433,1.6805,2.49991,11.0742,2.06041,0.00184748,5.35155,4.85429,1.3264,0.576342
0.000122822,0.0772255,0.00174494,194.283,0.43854,2.32914,2.70682,0.26758,0.477328,37.392,0.0249044,0.488376,3.63334,0.00635355,0.0914369,0.124586,102.751,0.328614,3.78514,1.97564,0.29431,0.717689,21.3441,2.15282,1.12531,10.3345,0.535297,2.68206,0.903657,3.02855,194.0,1.19701,2.3933,318.782,9.84832,1.26258,2.49852,2.0092,9.11247,4.39859,0.000806561,5.66046,4.13761,1.57208,0.713284
0.000122632,0.0930858,0.00172464,178.423,0.212877,2.41774,2.48064,0.236966,0.530597,19.6419,0.0283359,0.652072,4.45814,0.00766586,0.0743162,0.11987,86.5852,0.463237,2.94517,1.61768,0.176705,0.421789,15.4151,2.12052,1.18101,11.0933,0.739177,1.98987,0.966076,4.33647,165.0,3.33668,3.58549,444.728,7.67446,1.33555,2.76169,1.67768,9.19908,3.49857,0.00192524,7.17676,7.42352,1.07971,0.657342
0.000147488,0.107245,0.00148086,186.238,0.349747,2.81853,2.79841,0.14478,0.374695,35.2638,0.0253077,0.631476,2.25549,0.00430124,0.0731343,0.146464,89.1531,0.286971,3.67459,2.54807,0.246138,0.476405,21.4077,3.32392,1.06653,8.79553,0.4507,5.23729,0.890848,3.8466,190.0,2.56705,2.08744,311.543,9.81521,0.747822,2.14053,2.35408,6.40901,2.14579,0.00161687,3.98596,6.91011,1.69713,0.670882
