time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-25 00:00:00+00:00,41,17,10,8
2026-07-26 00:00:00+00:00,31,19,18,9
2026-07-27 00:00:00+00:00,31,14,8,3
2026-07-28 00:00:00+00:00,58,37,7,7
2026-07-29 00:00:00+00:00,57,25,4,3
2026-07-30 00:00:00+00:00,41,20,20,8
2026-07-31 00:00:00+00:00,24,16,10,3
2026-08-01 00:00:00+00:00,68,20,9,9
2026-08-02 00:00:00+00:00,28,20,8,7
2026-08-03 00:00:00+00:00,34,19,33,32
2026-08-04 00:00:00+00:00,68,31,23,18
2026-08-05 00:00:00+00:00,61,15,20,16
2026-08-06 00:00:00+00:00,19,12,17,10
2026-08-07 00:00:00+00:00,108,88,11,10
