time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-25 00:00:00+00:00,117,25,153,10
2026-03-26 00:00:00+00:00,34,14,47,13
2026-03-27 00:00:00+00:00,57,49,135,13
2026-03-28 00:00:00+00:00,15,10,9,7
2026-03-29 00:00:00+00:00,19,11,14,9
2026-03-30 00:00:00+00:00,175,34,19,6
2026-03-31 00:00:00+00:00,28,18,31,11
2026-04-01 00:00:00+00:00,33,20,76,11
2026-04-02 00:00:00+00:00,104,40,14,8
2026-04-03 00:00:00+00:00,51,14,16,8
2026-04-04 00:00:00+00:00,12,7,72,14
2026-04-05 00:00:00+00:00,23,14,29,3
2026-04-06 00:00:00+00:00,15,7,21,9
2026-04-07 00:00:00+00:00,7,7,29,11
