url_path,views_total,views_unique
/alan-turing-institute/autoemulate,96,47
/alan-turing-institute/autoemulate/tree/main,36,18
/alan-turing-institute/autoemulate/pulls,36,5
/alan-turing-institute/autoemulate/issues,27,17
/alan-turing-institute/autoemulate/commits/main,27,2
/alan-turing-institute/autoemulate/tree/main/autoemulate,25,9
/alan-turing-institute/autoemulate/pull/972,25,1
/alan-turing-institute/autoemulate/blob/main/CONTRIBUTING.md,22,2
/alan-turing-institute/autoemulate/tree/main/case_studies,16,12
/alan-turing-institute/autoemulate/graphs/contributors,16,6
