time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-09-30 00:00:00+00:00,99,26,131,11
2025-10-01 00:00:00+00:00,172,22,142,9
2025-10-02 00:00:00+00:00,110,17,122,17
2025-10-03 00:00:00+00:00,120,23,90,12
2025-10-04 00:00:00+00:00,23,18,10,5
2025-10-05 00:00:00+00:00,35,27,8,4
2025-10-06 00:00:00+00:00,92,19,79,14
2025-10-07 00:00:00+00:00,124,38,43,10
2025-10-08 00:00:00+00:00,88,28,74,10
2025-10-09 00:00:00+00:00,106,36,223,15
2025-10-10 00:00:00+00:00,22,20,61,9
2025-10-11 00:00:00+00:00,24,20,3,3
2025-10-12 00:00:00+00:00,16,12,3,3
2025-10-13 00:00:00+00:00,18,11,49,11
