time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-06 00:00:00+00:00,108,31,40,9
2026-07-07 00:00:00+00:00,102,45,79,11
2026-07-08 00:00:00+00:00,31,16,24,10
2026-07-09 00:00:00+00:00,77,36,14,5
2026-07-10 00:00:00+00:00,20,19,3,3
2026-07-11 00:00:00+00:00,39,22,16,12
2026-07-12 00:00:00+00:00,32,17,16,8
2026-07-13 00:00:00+00:00,86,37,28,9
2026-07-14 00:00:00+00:00,81,35,38,7
2026-07-15 00:00:00+00:00,82,16,6,5
2026-07-16 00:00:00+00:00,28,19,8,7
2026-07-17 00:00:00+00:00,13,7,12,12
2026-07-18 00:00:00+00:00,138,13,14,11
2026-07-19 00:00:00+00:00,55,15,4,4
