time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-24 00:00:00+00:00,25,17,6,3
2025-12-25 00:00:00+00:00,26,13,0,0
2025-12-26 00:00:00+00:00,16,10,4,1
2025-12-27 00:00:00+00:00,14,11,19,4
2025-12-28 00:00:00+00:00,19,11,6,2
2025-12-29 00:00:00+00:00,18,9,20,6
2025-12-30 00:00:00+00:00,23,12,0,0
2025-12-31 00:00:00+00:00,16,8,8,2
2026-01-01 00:00:00+00:00,12,8,7,2
2026-01-02 00:00:00+00:00,9,5,1,1
2026-01-03 00:00:00+00:00,11,7,4,3
2026-01-04 00:00:00+00:00,11,6,2,2
2026-01-05 00:00:00+00:00,14,5,26,6
2026-01-06 00:00:00+00:00,63,38,97,6
