time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-08 00:00:00+00:00,70,18,24,5
2025-11-09 00:00:00+00:00,2317,13,5,4
2025-11-10 00:00:00+00:00,57,20,69,9
2025-11-11 00:00:00+00:00,55,19,102,11
2025-11-12 00:00:00+00:00,170,75,132,8
2025-11-13 00:00:00+00:00,255,92,157,8
2025-11-14 00:00:00+00:00,74,23,70,20
2025-11-15 00:00:00+00:00,17,4,1,1
2025-11-16 00:00:00+00:00,33,11,4,2
2025-11-17 00:00:00+00:00,25,15,201,22
2025-11-18 00:00:00+00:00,146,56,122,15
2025-11-19 00:00:00+00:00,60,27,35,6
2025-11-20 00:00:00+00:00,12,11,47,7
2025-11-21 00:00:00+00:00,7,4,46,7
