time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-24 00:00:00+00:00,20,19,18,6
2026-02-25 00:00:00+00:00,13,8,51,8
2026-02-26 00:00:00+00:00,15,10,12,4
2026-02-27 00:00:00+00:00,9,5,3,3
2026-02-28 00:00:00+00:00,14,6,11,4
2026-03-01 00:00:00+00:00,9,8,69,6
2026-03-02 00:00:00+00:00,22,10,57,7
2026-03-03 00:00:00+00:00,7,6,19,6
2026-03-04 00:00:00+00:00,9,7,22,6
2026-03-05 00:00:00+00:00,12,8,86,6
2026-03-06 00:00:00+00:00,8,4,28,8
2026-03-07 00:00:00+00:00,5,5,4,3
2026-03-08 00:00:00+00:00,13,8,9,3
2026-03-09 00:00:00+00:00,33,24,21,3
