time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-31 00:00:00+00:00,39,24,51,9
2026-06-01 00:00:00+00:00,153,22,10,9
2026-06-02 00:00:00+00:00,71,23,10,9
2026-06-03 00:00:00+00:00,98,36,24,13
2026-06-04 00:00:00+00:00,36,22,13,9
2026-06-05 00:00:00+00:00,139,70,49,13
2026-06-06 00:00:00+00:00,52,21,90,22
2026-06-07 00:00:00+00:00,50,14,35,10
2026-06-08 00:00:00+00:00,592,83,36,11
2026-06-09 00:00:00+00:00,67,28,76,14
2026-06-10 00:00:00+00:00,92,29,5,4
2026-06-11 00:00:00+00:00,125,27,50,7
2026-06-12 00:00:00+00:00,52,23,71,15
2026-06-13 00:00:00+00:00,37,16,4,4
