referrer,views_total,views_unique
github.com,65,15
autoemulate.com,52,5
Google,46,15
alan-turing-institute.github.io,46,8
statics.teams.cdn.office.net,5,3
chatgpt.com,2,1
deref-mail.com,1,1
overleaf.com,1,1
perplexity.ai,1,1
rktemplates.com,1,1
