url_path,views_total,views_unique
/alan-turing-institute/autoemulate,68,24
/alan-turing-institute/autoemulate/issues,35,11
/alan-turing-institute/autoemulate/pulls,20,9
/alan-turing-institute/autoemulate/issues/1011,13,3
/alan-turing-institute/autoemulate/tree/main,12,5
/alan-turing-institute/autoemulate/blob/main/docs/tutorials/tasks/03_seir_bayes_calibration.ipynb,9,2
/alan-turing-institute/autoemulate/tree/main/docs,7,2
/alan-turing-institute/autoemulate/commits,7,1
/alan-turing-institute/autoemulate/tree/main/autoemulate,5,3
/alan-turing-institute/autoemulate/releases/tag/v2.1.1,4,4
