time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-18 00:00:00+00:00,15,9,4,4
2026-04-19 00:00:00+00:00,64,34,16,3
2026-04-20 00:00:00+00:00,144,72,24,4
2026-04-21 00:00:00+00:00,115,52,6,3
2026-04-22 00:00:00+00:00,1163,333,14,6
2026-04-23 00:00:00+00:00,217,85,8,4
2026-04-24 00:00:00+00:00,64,22,5,4
2026-04-25 00:00:00+00:00,95,34,14,5
2026-04-26 00:00:00+00:00,23,11,2,2
2026-04-27 00:00:00+00:00,76,25,16,4
2026-04-28 00:00:00+00:00,102,37,15,10
2026-04-29 00:00:00+00:00,50,17,11,6
2026-04-30 00:00:00+00:00,56,20,17,7
2026-05-01 00:00:00+00:00,49,31,5,5
