url_path,views_total,views_unique
/alan-turing-institute/autoemulate,97,40
/alan-turing-institute/autoemulate/pulls,71,8
/alan-turing-institute/autoemulate/actions,38,2
/alan-turing-institute/autoemulate/pull/950,27,3
/alan-turing-institute/autoemulate/issues,23,6
/alan-turing-institute/autoemulate/discussions/954,10,5
/alan-turing-institute/autoemulate/commits/main,10,2
/alan-turing-institute/autoemulate/tree/main/case_studies,9,5
/alan-turing-institute/autoemulate/pull/950/files,9,2
/alan-turing-institute/autoemulate/projects,8,4
