time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-05 00:00:00+00:00,139,70,49,13
2026-06-06 00:00:00+00:00,52,21,90,22
2026-06-07 00:00:00+00:00,50,14,35,10
2026-06-08 00:00:00+00:00,592,83,36,11
2026-06-09 00:00:00+00:00,67,28,76,14
2026-06-10 00:00:00+00:00,92,29,5,4
2026-06-11 00:00:00+00:00,125,27,50,7
2026-06-12 00:00:00+00:00,52,23,71,15
2026-06-13 00:00:00+00:00,37,16,4,4
2026-06-14 00:00:00+00:00,511,88,4,4
2026-06-15 00:00:00+00:00,68,29,2,2
2026-06-16 00:00:00+00:00,108,62,9,8
2026-06-17 00:00:00+00:00,64,35,25,13
2026-06-18 00:00:00+00:00,233,98,78,56
