url_path,views_total,views_unique
/alan-turing-institute/autoemulate,50,24
/alan-turing-institute/autoemulate/issues,18,6
/alan-turing-institute/autoemulate/pulls,14,4
/alan-turing-institute/autoemulate/tree/main/autoemulate,10,3
/alan-turing-institute/autoemulate/tree/main/case_studies,5,5
/alan-turing-institute/autoemulate/pull/1013,5,3
/alan-turing-institute/autoemulate/blob/main/pyproject.toml,5,1
/alan-turing-institute/autoemulate/discussions,4,4
/alan-turing-institute/autoemulate/pull/1046,4,2
/alan-turing-institute/autoemulate/releases,4,2
