time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-28 00:00:00+00:00,39,13,33,10
2025-10-29 00:00:00+00:00,34,15,54,9
2025-10-30 00:00:00+00:00,86,18,147,13
2025-10-31 00:00:00+00:00,112,35,114,12
2025-11-01 00:00:00+00:00,56,37,2,2
2025-11-02 00:00:00+00:00,11,8,4,4
2025-11-03 00:00:00+00:00,130,27,63,18
2025-11-04 00:00:00+00:00,120,16,155,20
2025-11-05 00:00:00+00:00,64,21,200,17
2025-11-06 00:00:00+00:00,92,33,178,19
2025-11-07 00:00:00+00:00,108,24,108,28
2025-11-08 00:00:00+00:00,70,18,24,5
2025-11-09 00:00:00+00:00,2317,13,5,4
2025-11-10 00:00:00+00:00,53,17,66,8
