time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-11 00:00:00+00:00,26,17,11,2
2026-03-12 00:00:00+00:00,31,24,13,4
2026-03-13 00:00:00+00:00,20,14,0,0
2026-03-14 00:00:00+00:00,12,8,6,2
2026-03-15 00:00:00+00:00,40,7,4,2
2026-03-16 00:00:00+00:00,18,18,13,5
2026-03-17 00:00:00+00:00,32,13,12,4
2026-03-18 00:00:00+00:00,13,9,23,4
2026-03-19 00:00:00+00:00,12,10,12,4
2026-03-20 00:00:00+00:00,19,12,2,2
2026-03-21 00:00:00+00:00,30,20,0,0
2026-03-22 00:00:00+00:00,33,18,1,1
2026-03-23 00:00:00+00:00,39,17,38,7
2026-03-24 00:00:00+00:00,28,17,57,14
