time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-09-10 00:00:00+00:00,65,25,8,5
2026-09-11 00:00:00+00:00,504,122,23,5
2026-09-12 00:00:00+00:00,167,152,14,12
2026-09-13 00:00:00+00:00,3587,222,24,22
2026-09-14 00:00:00+00:00,34,30,15,14
2026-09-15 00:00:00+00:00,30,19,96,23
2026-09-16 00:00:00+00:00,31,17,34,28
2026-09-17 00:00:00+00:00,39,17,17,17
2026-09-18 00:00:00+00:00,34,13,24,22
2026-09-19 00:00:00+00:00,46,33,19,16
2026-09-20 00:00:00+00:00,467,61,28,21
2026-09-21 00:00:00+00:00,42,21,24,22
2026-09-22 00:00:00+00:00,38,18,9,9
2026-09-23 00:00:00+00:00,183,35,17,12
