time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-27 00:00:00+00:00,60,28,93,7
2026-01-28 00:00:00+00:00,21,12,127,9
2026-01-29 00:00:00+00:00,110,30,134,10
2026-01-30 00:00:00+00:00,16,8,25,7
2026-01-31 00:00:00+00:00,17,9,3,3
2026-02-01 00:00:00+00:00,14,10,3,2
2026-02-02 00:00:00+00:00,11,7,65,12
2026-02-03 00:00:00+00:00,30,12,44,10
2026-02-04 00:00:00+00:00,10,6,22,4
2026-02-05 00:00:00+00:00,13,5,193,12
2026-02-06 00:00:00+00:00,47,35,34,7
2026-02-07 00:00:00+00:00,18,9,30,7
2026-02-08 00:00:00+00:00,17,12,12,4
2026-02-09 00:00:00+00:00,6,6,45,8
