url_path,views_total,views_unique
/alan-turing-institute/autoemulate/pulls,127,7
/alan-turing-institute/autoemulate,119,44
/alan-turing-institute/autoemulate/pull/950,55,4
/alan-turing-institute/autoemulate/actions,42,2
/alan-turing-institute/autoemulate/pull/958,30,3
/alan-turing-institute/autoemulate/issues,26,6
/alan-turing-institute/autoemulate/discussions/954,16,5
/alan-turing-institute/autoemulate/tree/main/autoemulate,15,9
/alan-turing-institute/autoemulate/blob/main/case_studies/patient_calibration/patient_calibration_case_study.ipynb,12,5
/alan-turing-institute/autoemulate/tree/main/case_studies,11,7
