url_path,views_total,views_unique
/alan-turing-institute/autoemulate,65,25
/alan-turing-institute/autoemulate/issues,44,12
/alan-turing-institute/autoemulate/pulls,21,9
/alan-turing-institute/autoemulate/issues/1011,13,3
/alan-turing-institute/autoemulate/commits,9,3
/alan-turing-institute/autoemulate/tree/main,7,4
/alan-turing-institute/autoemulate/tree/main/docs,7,2
/alan-turing-institute/autoemulate/tree/main/autoemulate,5,3
/alan-turing-institute/autoemulate/pull/1005,4,3
/alan-turing-institute/autoemulate/blob/main/docs/tutorials/tasks/03_seir_bayes_calibration.ipynb,4,2
