url_path,views_total,views_unique
/alan-turing-institute/autoemulate,65,28
/alan-turing-institute/autoemulate/pulls,60,7
/alan-turing-institute/autoemulate/issues,42,14
/alan-turing-institute/autoemulate/pull/988,17,1
/alan-turing-institute/autoemulate/pull/988/changes,15,1
/alan-turing-institute/autoemulate/blob/main/docs/tutorials/tasks/03_bayes_calibration.ipynb,13,5
/alan-turing-institute/autoemulate/tree/main/case_studies,9,4
/alan-turing-institute/autoemulate/tree/main,8,4
/alan-turing-institute/autoemulate/tree/main/docs,8,3
/alan-turing-institute/autoemulate/tree/main/autoemulate,7,4
