"Vmax,lv","Vmax,rv","Vmax,la","Vmax,ra","Eff,v","Eff,a"
192.987,156.392,165.782,145.85,0.0204373,0.0527913
199.399,158.878,152.331,136.903,0.0270226,0.025
189.565,151.66,165.474,143.284,0.013177,0.0308016
238.429,172.147,186.145,155.606,0.0754768,0.0465738
227.235,160.939,187.227,156.252,0.0622478,0.0706379
237.084,164.495,146.51,132.16,0.078728,0.0132414
203.352,160.612,155.95,138.682,0.0333158,0.0288227
201.017,157.449,163.302,142.254,0.0288774,0.0376624
210.931,167.101,175.786,153.666,0.0426508,0.0441799
212.067,169.772,171.261,152.35,0.0437053,0.0457151
207.652,166.026,178.206,154.322,0.0345295,0.0553728
202.863,160.267,148.123,134.365,0.0298877,0.0156149
207.066,160.821,151.669,135.938,0.0369685,0.0227563
225.004,173.948,153.715,138.596,0.056949,0.0197598
200.293,157.002,185.613,155.252,0.02808,0.0546549
188.249,152.975,196.994,164.676,0.0140305,0.0930088
194.929,153.745,168.768,145.871,0.0205313,0.0266931
186.023,149.833,185.538,155.339,0.0101816,0.0951868
211.258,162.506,153.881,138.036,0.0385539,0.028348
192.392,153.898,172.177,148.489,0.0199847,0.0505836
196.429,157.556,189.924,163.033,0.0255541,0.0862941
187.178,150.579,172.468,148.432,0.0082399,0.0634655
205.78,163.401,181.548,155.519,0.037237,0.048587
227.59,161.263,167.22,143.774,0.0620924,0.0467687
193.625,156.87,171.889,152.943,0.0187775,0.0530582
216.016,160.603,155.677,137.729,0.0453447,0.0365863
202.48,157.184,158.112,139.072,0.0305182,0.0285955
235.124,162.738,159.068,138.969,0.0714374,0.0314285
220.214,168.985,156.248,139.68,0.0504341,0.0254428
196.969,152.161,205.428,164.156,0.0229132,0.133111
211.68,159.657,176.132,150.137,0.0436272,0.0611944
228.857,168.878,174.374,149.83,0.0576303,0.0431218
226.117,171.745,183.391,159.883,0.0595687,0.0822832
206.413,158.971,208.687,162.979,0.0363495,0.0897699
192.938,154.17,162.246,141.266,0.0186649,0.0239657
209.204,164.484,183.747,159.379,0.0335741,0.082609
202.348,162.868,161.328,145.363,0.0313847,0.032692
201.112,159.444,154.002,137.943,0.0276088,0.0277759
188.203,151.896,175.911,151.263,0.0134239,0.0456455
202.318,161.331,169.619,150.23,0.0293207,0.0514789
197.768,157.069,160.743,141.777,0.0253643,0.0389509
205.538,159.559,177.683,152.054,0.0336048,0.0372709
214.035,158.37,184.38,156.076,0.0467798,0.0839265
201.481,155.815,177.706,149.991,0.0263159,0.0584863
194.195,155.831,167.106,146.655,0.0218345,0.0432455
188.419,150.429,164.556,143.86,0.0117426,0.0604174
202.988,157.284,151.418,136.318,0.0300749,0.0202481
203.484,160.011,157.037,139.118,0.0335432,0.0268581
266.237,169.491,149.818,133.253,0.124116,0.014963
188.308,153.076,151.971,138.143,0.0110986,0.0186669
242.453,180.686,156.426,140.378,0.0680914,0.0238028
202.859,157.501,155.813,138.134,0.0335449,0.0236808
200.452,158.701,165.135,144.981,0.0256894,0.0526104
209.372,159.934,152.273,136.144,0.0399361,0.018586
228.405,168.508,162.851,141.377,0.0656831,0.0469447
195.645,155.126,155.145,138.215,0.0243609,0.0249884
184.284,148.365,174.749,150.7,0.00842919,0.0599945
201.532,163.206,189.14,160.397,0.0293815,0.0660459
197.866,155.512,211.738,163.327,0.025003,0.140739
190.789,151.065,192.761,160.675,0.0150646,0.118835
229.243,165.532,160.928,141.713,0.0621771,0.0438069
197.487,158.281,153.917,138.368,0.0246635,0.018516
191.213,152.054,160.549,141.477,0.0164556,0.0341165
209.385,159.585,165.268,143.929,0.0362966,0.0438892
234.165,174.241,163.702,143.918,0.0743437,0.0431272
199.469,156.782,189.169,160.835,0.0267487,0.08085
191.471,152.957,158.106,139.522,0.0157403,0.0366539
198.736,158.057,168.098,147.378,0.0255841,0.0519838
189.896,155.469,153.709,139.626,0.0142421,0.0251276
192.31,152.13,175.041,146.336,0.0178044,0.0730376
209.501,167.236,156.656,140.736,0.0388604,0.0286123
230.868,167.908,154.428,138.306,0.0641949,0.0235376
208.298,162.716,177.225,152.619,0.0324889,0.0925844
206.765,162.186,152.839,137.875,0.0315048,0.021594
193.918,153.47,190.24,153.848,0.0210725,0.0916521
189.98,152.675,157.994,140.475,0.0151657,0.0259835
192.327,152.808,175.502,151.15,0.0150918,0.070679
207.033,167.073,154.714,139.939,0.0388644,0.0358561
236.211,183.56,167.687,149.216,0.0632857,0.0382351
233.653,161.827,153.876,137.117,0.0688699,0.0255159
186.072,149.78,189.418,154.836,0.0104336,0.0623303
214.17,163.263,157.758,139.09,0.044493,0.0351472
195.439,154.219,173.055,147.86,0.0214877,0.0358828
217.782,161.58,157.336,139.078,0.0510811,0.0395567
219.322,171.141,152.166,137.931,0.0542708,0.0195099
190.07,153.878,163.026,144.975,0.0146528,0.0389101
206.718,159.852,173.203,148.189,0.0354478,0.0470033
216.714,172.331,157.533,142.631,0.0379075,0.0319652
207.398,157.286,188.882,158.845,0.0369569,0.117697
191.047,155.558,190.134,162.806,0.0163419,0.0838207
206.883,158.924,163.875,143.224,0.0346638,0.0281353
192.128,153.126,157.019,139.771,0.0167381,0.0264831
188.578,150.281,206.808,162.421,0.0122501,0.117255
184.495,149.408,168.971,144.586,0.00938613,0.040115
204.083,155.351,195.219,156.259,0.0290452,0.0952716
191.587,152.669,181.654,154.226,0.0182083,0.0739086
185.716,150.598,179.436,154.524,0.00967939,0.0801629
189.022,151.403,153.542,136.831,0.0150053,0.0286909
187.505,150.828,167.398,145.336,0.0124893,0.0483218
186.133,151.815,226.951,177.488,0.0110558,0.114008
244.248,175.198,155.817,139.103,0.0765825,0.0266924
192.694,157.042,158.307,141.963,0.0189663,0.0239055
190.685,152.673,162.705,143.024,0.0160273,0.027584
189.099,151.938,155.944,139.438,0.0115815,0.0327411
259.927,172.735,146.554,132.764,0.102849,0.0128228
208.336,163.262,219.866,172.83,0.0404733,0.165181
253.059,173.61,167.663,143.909,0.0895778,0.0626882
190.804,151.825,161.946,142.491,0.0167846,0.0323422
233.929,178.694,168.208,147.798,0.0722718,0.0310925
199.11,156.904,171.652,148.215,0.0248666,0.0419426
249.381,193.863,177.652,155.734,0.0958363,0.0589702
188.61,152.524,162.163,143.931,0.0131977,0.0395039
219.782,166.302,199.014,159.827,0.0537986,0.124001
189.258,151.787,178.791,152.671,0.0138043,0.0667677
191.191,152.318,160.237,140.647,0.0173301,0.0393962
190.424,153.435,163.504,144.517,0.015189,0.0408944
212.31,163.337,166.865,144.965,0.042184,0.0347922
196.995,157.93,184.147,160.431,0.020708,0.0883786
232.281,183.253,182.185,162.628,0.0681979,0.0793972
214.689,158.932,188.855,153.838,0.0471343,0.0641614
206.478,160.684,153.001,137.162,0.03737,0.0263375
211.519,164.189,151.478,136.995,0.0373557,0.0212094
211.547,170.789,170.186,150.501,0.0458606,0.0316564
232.664,167.014,182.945,155.094,0.0675146,0.0886811
185.958,150.877,175.776,151.694,0.00904214,0.0642519
211.145,169.941,167.722,148.993,0.0318075,0.0364135
232.778,177.711,172.421,150.066,0.0702238,0.0344123
185.906,150.325,177.835,150.822,0.011287,0.0484371
197.781,156.371,175.159,151.008,0.0227096,0.0671509
191.686,155.717,187.724,164.006,0.0160159,0.0804425
249.227,165.004,171.002,146.698,0.086104,0.0683426
208.411,159.922,155.462,137.531,0.0384769,0.0319215
188.734,151.542,166.015,145.065,0.012691,0.0453675
185.165,149.938,197.046,162.98,0.00893254,0.12978
246.055,179.61,153.66,138.676,0.0822539,0.0285756
241.555,170.424,148.492,133.928,0.0784171,0.0185252
191.748,153.039,155.534,138.974,0.016998,0.0260767
199.996,157.931,150.863,135.961,0.0273644,0.0230062
221.525,166.748,158.812,140.721,0.0530889,0.0462953
258.535,169.382,163.943,142.453,0.0817872,0.0411712
286.448,178.086,190.301,156.876,0.146025,0.0607193
259.047,175.485,159.018,139.264,0.10588,0.0306162
192.832,155.51,172.535,149.84,0.0190388,0.0450201
205.984,167.375,195.469,167.419,0.0335829,0.0617414
203.308,164.295,166.709,148.689,0.0271999,0.0365127
186.738,149.41,189.661,157.503,0.0114561,0.100121
201.122,155.737,198.625,162.877,0.0289065,0.136133
241.387,161.855,180.577,150.123,0.085818,0.0964892
236.792,167.738,194.039,157.227,0.077624,0.101868
192.711,156.651,173.047,150.936,0.0166727,0.0412379
197.849,155.696,166.608,144.744,0.0238656,0.062197
192.859,154.969,174.398,149.78,0.0175379,0.0754095
198.58,156.215,164.59,142.692,0.0273532,0.0442779
196.523,157.488,176.621,149.901,0.02215,0.0386645
235.84,162.735,158.227,137.623,0.0741976,0.0361059
226.135,160.19,177.547,150.792,0.0607737,0.0562809
195.775,154.803,158.134,141.021,0.0195288,0.0453371
243.14,186.106,166.467,147.174,0.0772036,0.0475963
186.309,150.105,201.127,158.446,0.0112789,0.0954412
195.152,154.849,159.914,142.026,0.0205477,0.0330939
187.538,150.628,175.083,150.639,0.0125408,0.0646907
186.959,151.001,150.012,135.508,0.0118203,0.0171467
197.668,155.646,151.253,135.177,0.0246129,0.0182178
201.964,156.163,174.366,148.991,0.0288286,0.0735526
190.795,152.005,155.189,138.027,0.0140962,0.0361098
194.665,159.662,205.492,172.432,0.0148744,0.120968
190.927,153.647,163.956,145.311,0.0137217,0.0285744
202.828,160.374,173.376,150.588,0.0311679,0.0780573
223.94,162.359,194.929,161.985,0.0476088,0.0921753
196.571,154.706,164.37,144.166,0.0238299,0.0317047
202.664,160.675,153.925,137.838,0.0311407,0.0262255
205.062,163.333,155.017,139.731,0.0334735,0.0218623
201.893,159.083,156.332,139.416,0.0322148,0.027257
229.984,163.602,163.203,141.101,0.0659251,0.0287174
197.503,154.789,190.26,153.96,0.0253362,0.0886453
221.776,161.554,160.854,141.05,0.0547737,0.0351173
