"Ca,diast,a","Ca,ampl,a","dCa/dtMax,a","RT90,a"
0.100302,0.538148,0.06260399999999999,479.0
0.0917903,0.2817737,0.03118349999999999,559.0
0.0944522,0.33737880000000003,0.038140499999999994,574.0
0.179524,0.8768560000000001,0.10101500000000002,478.0
0.12315,1.0156399999999999,0.12436299999999997,388.0
0.125568,1.0447220000000002,0.12887749999999998,388.0
0.13256,0.529331,0.06401500000000002,562.0
0.131211,0.760247,0.083785,475.0
0.105243,0.349027,0.041008,600.0
0.124965,0.9927649999999999,0.11572050000000003,382.0
0.103694,0.697876,0.07865749999999999,467.0
0.102436,0.69157,0.08745,392.0
0.138822,0.580691,0.06224450000000001,557.0
0.0993555,0.7080715,0.083568,400.0
0.118085,0.451592,0.050721,557.0
0.140309,0.700114,0.08056150000000001,523.0
0.103534,0.433319,0.05099000000000001,573.0
0.119547,1.2827229999999998,0.156788,328.0
0.106228,1.045902,0.12179249999999997,338.0
0.118901,0.599499,0.07222900000000002,502.0
0.106265,0.551178,0.0653135,476.0
0.124908,0.6277699999999999,0.071711,526.0
0.118489,0.7463690000000001,0.08890900000000002,452.0
0.133758,0.967492,0.12181149999999999,415.0
0.112369,0.40719600000000006,0.046867500000000006,575.0
0.107243,0.506511,0.05716900000000001,512.0
0.121676,0.404667,0.04761599999999999,618.0
0.130943,0.7235969999999999,0.0872955,499.0
0.0971263,0.4045617,0.046958499999999986,515.0
0.10903,0.590715,0.06694499999999999,503.0
0.148099,0.790783,0.09648549999999997,520.0
0.105875,0.6177349999999999,0.075165,501.0
0.121271,1.113089,0.13090799999999997,358.0
0.11077,0.840397,0.09627650000000001,391.0
0.119564,0.47717200000000004,0.059018,555.0
0.116719,0.44470199999999993,0.053077,564.0
0.100852,0.5387869999999999,0.06767949999999999,458.0
0.116285,0.813795,0.09895199999999998,433.0
0.138468,0.9678720000000001,0.11692299999999997,394.0
0.107022,0.46637599999999996,0.054003999999999996,523.0
0.118639,0.683357,0.078036,439.0
0.1071,0.616006,0.067603,485.0
0.142558,0.510738,0.0588805,585.0
0.128132,0.879118,0.10958650000000003,436.0
0.12841,0.450074,0.04929650000000001,585.0
0.127859,0.9004910000000002,0.10973850000000002,419.0
0.106381,0.5939209999999999,0.071015,476.0
0.112441,0.541621,0.06956100000000001,441.0
0.136757,0.47520699999999994,0.056773500000000005,572.0
0.106518,0.536937,0.06401299999999999,494.0
0.151297,0.9253929999999999,0.11280300000000001,452.0
0.109545,0.606541,0.0767765,469.0
0.131991,0.8836390000000001,0.10834999999999997,442.0
0.162717,0.805929,0.09739,488.0
0.119275,0.958955,0.1081735,363.0
0.0827032,0.5076168,0.0586865,422.0
0.133327,0.434376,0.04838500000000001,600.0
0.131063,0.6872539999999999,0.0807805,512.0
0.114121,0.568502,0.06648699999999999,534.0
0.117796,0.724809,0.08551049999999999,457.0
0.162471,1.002909,0.11400800000000003,451.0
0.153417,0.535967,0.0602375,596.0
0.134867,0.63249,0.07277249999999999,508.0
0.113792,0.8018689999999999,0.0924085,415.0
0.0810144,0.4831836,0.055218,377.0
0.11006,0.7160329999999999,0.08823600000000001,399.0
0.127087,0.8223940000000001,0.0952865,398.0
0.145676,0.5530039999999999,0.062024000000000024,603.0
0.12663,0.576136,0.067189,505.0
0.116318,0.381711,0.042851500000000015,594.0
0.118654,0.6070749999999999,0.06717,474.0
