time_iso8601,forks_cumulative
2024-02-27 00:00:00+00:00,1
2024-09-03 00:00:00+00:00,2
2024-11-06 00:00:00+00:00,3
2025-01-13 00:00:00+00:00,4
2025-02-12 00:00:00+00:00,5
2025-02-19 00:00:00+00:00,6
2025-02-27 00:00:00+00:00,7
2025-06-02 00:00:00+00:00,8
2025-06-03 00:00:00+00:00,9
2025-06-16 00:00:00+00:00,10
2025-08-01 00:00:00+00:00,11
2025-08-02 00:00:00+00:00,13
2025-08-26 00:00:00+00:00,14
2025-09-03 00:00:00+00:00,15
2025-09-12 00:00:00+00:00,16
2025-09-16 00:00:00+00:00,17
2025-09-21 00:00:00+00:00,18
2025-10-03 00:00:00+00:00,19
2025-10-29 00:00:00+00:00,20
2025-11-05 00:00:00+00:00,22
2025-11-13 00:00:00+00:00,23
