time_iso8601,stars_cumulative
2023-08-02 00:00:00+00:00,1
2023-10-17 00:00:00+00:00,2
2023-11-02 00:00:00+00:00,3
2023-11-23 00:00:00+00:00,4
2024-02-12 00:00:00+00:00,5
2024-02-14 00:00:00+00:00,6
2024-02-22 00:00:00+00:00,7
2024-03-19 00:00:00+00:00,8
2024-03-20 00:00:00+00:00,11
2024-06-13 00:00:00+00:00,12
2024-07-01 00:00:00+00:00,13
2024-08-09 00:00:00+00:00,14
2024-09-10 00:00:00+00:00,15
2024-09-24 00:00:00+00:00,16
2024-10-25 00:00:00+00:00,17
2024-11-20 00:00:00+00:00,20
2024-11-29 00:00:00+00:00,21
2025-02-02 00:00:00+00:00,22
2025-02-19 00:00:00+00:00,23
2025-02-27 00:00:00+00:00,24
2025-03-03 00:00:00+00:00,25
2025-03-04 00:00:00+00:00,26
2025-03-10 00:00:00+00:00,27
2025-03-18 00:00:00+00:00,28
2025-03-25 00:00:00+00:00,30
2025-03-27 00:00:00+00:00,33
2025-03-28 00:00:00+00:00,34
2025-03-29 00:00:00+00:00,35
2025-04-08 00:00:00+00:00,36
2025-04-23 00:00:00+00:00,37
2025-05-08 00:00:00+00:00,38
2025-05-09 00:00:00+00:00,39
2025-05-12 00:00:00+00:00,41
2025-05-13 00:00:00+00:00,43
2025-05-14 00:00:00+00:00,45
2025-05-15 00:00:00+00:00,48
2025-05-16 00:00:00+00:00,51
2025-05-18 00:00:00+00:00,52
2025-05-20 00:00:00+00:00,53
2025-05-25 00:00:00+00:00,54
2025-06-02 00:00:00+00:00,64
2025-06-03 00:00:00+00:00,68
2025-06-04 00:00:00+00:00,69
2025-06-05 00:00:00+00:00,70
2025-06-16 00:00:00+00:00,71
2025-07-02 00:00:00+00:00,72
2025-07-18 00:00:00+00:00,73
2025-07-28 00:00:00+00:00,74
2025-07-31 00:00:00+00:00,81
2025-08-01 00:00:00+00:00,82
2025-08-02 00:00:00+00:00,83
2025-08-06 00:00:00+00:00,84
2025-08-14 00:00:00+00:00,85
2025-08-19 00:00:00+00:00,86
2025-08-28 00:00:00+00:00,89
2025-09-03 00:00:00+00:00,90
2025-09-05 00:00:00+00:00,91
2025-09-07 00:00:00+00:00,92
2025-09-08 00:00:00+00:00,93
2025-09-09 00:00:00+00:00,95
