"a,v","bf,v","bft,v","bt,v","a,a","bf,a","bft,a","bt,a",kperi
5.46222,3.75562,15.2876,9.31947,4.97721,5.70476,7.9733,6.51249,0.000940948
2.51194,27.69,15.4995,7.81432,5.87758,13.2279,14.5756,9.65919,0.00160617
4.84414,28.6489,3.93299,6.57506,5.47424,22.3649,13.6555,2.08846,0.00340464
3.26357,7.79455,4.0193,1.11026,3.34664,25.8218,1.67322,1.32611,0.00146426
1.72549,7.92722,2.81254,4.20757,1.23543,22.7537,13.3156,3.04046,0.002893
0.912899,8.12896,12.3117,5.82767,6.29769,25.2875,10.5483,9.9046,0.00380049
4.8745,12.0178,12.677,2.99275,6.36602,11.9759,5.41832,6.57738,0.00179137
4.08943,17.0115,8.88547,3.16846,4.13519,15.355,8.06036,4.93105,0.0028087
3.83478,4.77742,6.5286,5.5228,3.0437,27.4269,3.45831,3.50744,0.000808589
2.6055,15.5715,14.0013,5.75535,2.02816,31.9493,3.63246,7.61317,0.000488596
4.60478,16.3546,4.69887,2.85352,5.38898,11.2601,2.11811,2.85166,0.000614365
6.10375,14.1087,4.31939,2.09677,6.23626,26.3674,11.6161,11.9336,0.00185308
5.16478,9.70844,6.40216,2.36635,5.67143,15.2731,9.33272,9.31668,0.00252046
3.6268,9.88248,3.79161,2.56429,6.78091,27.2134,7.27311,5.9949,0.000861192
1.91121,22.1384,10.8468,9.47002,3.19016,19.4749,4.46655,1.56709,0.00226778
6.69633,5.3236,11.8006,9.19631,1.3985,15.0774,12.7938,3.24503,0.00104703
3.00049,9.12259,2.74688,11.9263,5.74633,30.2214,10.0624,1.24887,0.00323437
5.45317,19.1748,11.1647,10.7122,1.43788,6.81551,14.2933,6.31216,0.00243487
1.33828,21.461,4.9713,11.6349,5.00303,11.7393,9.00369,10.1031,0.00206128
4.5477,2.24744,13.3952,9.60781,2.25288,20.3419,14.919,4.82982,0.00245344
6.6485,3.98946,13.5887,4.5936,0.499016,29.1492,4.7366,7.79853,0.00126958
5.98628,31.8964,1.02633,9.88,2.61826,8.22166,14.8748,6.37285,0.00259739
4.29747,5.94911,9.71996,4.69002,2.52573,29.5139,5.97034,2.42663,0.00108771
0.66742,21.1341,11.4693,8.07706,2.90582,14.4329,5.21029,5.06613,0.0036999
3.5767,31.0216,12.6224,8.54719,1.25724,31.681,4.94935,11.3384,0.000707413
0.966966,29.3517,8.70231,8.58689,3.67102,6.4669,15.1676,11.1352,0.00346537
3.08208,27.2094,12.5141,2.00215,2.69152,31.3441,15.7189,7.8897,0.00360156
0.565752,20.3513,9.22964,7.50692,4.68488,15.6413,10.5895,4.46661,0.00352945
1.78403,23.6059,7.83782,4.02206,3.61667,31.5791,12.6716,8.64277,0.00124027
2.82844,6.48968,2.99752,10.375,1.15324,5.16495,13.784,3.9334,0.00316454
2.25287,8.39284,8.48801,5.62562,1.61459,18.1517,9.50079,5.43956,0.00298097
1.07253,18.1118,2.43503,7.97045,4.24333,19.6811,7.17833,2.308,0.00143708
2.18142,13.1489,8.81096,3.53132,0.484772,26.6758,12.1604,11.6644,0.000899704
2.3561,30.3835,14.6749,0.861802,1.96394,14.5925,6.42814,0.822768,0.00231724
5.28384,25.565,8.66292,3.06507,6.18193,29.2804,13.4298,1.96909,0.00268081
2.96045,31.2654,5.18142,2.27734,1.11563,15.6701,6.87296,8.5972,0.000821175
2.89067,7.09425,10.51,11.1068,2.94745,29.961,1.84201,10.5113,0.000752126
6.12987,20.1177,7.23303,1.21792,4.84671,13.9693,7.90319,10.6922,0.00162813
4.39245,18.5197,13.3103,11.2213,2.77206,25.8648,4.82508,3.10094,0.00198658
2.44587,22.8872,10.1243,8.37699,1.49618,25.559,7.75777,10.885,0.000988125
5.68826,11.3139,8.54705,3.87825,3.26287,14.1826,11.978,8.72695,0.00209004
2.20253,7.40254,3.29782,10.6,5.21435,23.087,4.37765,1.26191,0.00187509
1.43236,6.71165,8.344,8.97959,0.668754,18.7101,15.4109,7.34964,0.00305241
6.43823,14.1736,2.35436,1.34515,2.90116,13.7206,4.55932,3.28239,0.00344103
6.21358,4.35533,10.0472,6.4169,2.64037,21.4042,7.13229,6.70089,0.00169437
4.65601,20.6552,4.56843,11.3887,2.43194,2.77371,13.8963,11.9485,0.00373146
5.22441,7.50532,2.27752,3.87284,3.98741,28.0725,9.80315,11.5865,0.00368574
4.44408,14.6673,13.9608,2.47544,3.44961,28.699,12.9008,7.8477,0.00213139
0.930459,4.00161,15.6785,2.18088,5.90894,30.6898,9.72004,5.0296,0.00349606
5.73656,28.829,3.441,10.6746,6.1282,28.5774,3.80778,9.57873,0.00112369
0.761802,30.7345,2.1545,7.07081,5.64871,26.5359,8.62294,5.89166,0.000747653
2.02007,6.09274,14.608,10.9657,5.99568,20.0493,9.41753,4.62266,0.00354325
1.94122,29.9841,7.25687,11.4383,3.31556,7.02519,15.0329,8.44555,0.00157883
1.69548,22.3911,14.1438,5.9719,6.72929,22.2473,2.78839,6.05032,0.00351657
1.51246,8.26898,13.8087,5.69803,6.05666,4.90231,5.31621,4.97011,0.00197509
5.07933,6.2813,14.3875,5.91245,3.82353,24.948,6.11852,9.02651,0.00334858
6.58361,28.3653,13.85,8.33442,0.906349,28.8662,2.39499,9.23045,0.00393585
2.68191,28.9931,15.0701,6.24955,4.89739,12.2292,10.491,1.47895,0.000464874
2.15259,27.591,15.5042,7.16552,2.19537,3.45167,13.001,2.24133,0.00217144
3.80739,18.926,6.90978,8.79363,0.571105,7.81386,12.0079,8.82572,0.00309081
3.53541,2.45594,1.11933,3.48205,3.4887,8.41116,14.8222,8.2812,0.00237557
2.92215,24.5451,12.9181,8.16686,6.64112,31.2089,7.42993,5.41696,0.00144459
5.1941,12.4495,5.76395,7.47338,3.52775,18.5054,7.06402,6.89164,0.00398368
1.28902,26.1848,5.88269,10.3553,4.40674,10.5664,2.98668,5.14242,0.00283446
4.17687,3.6143,7.8272,1.92836,1.81873,23.4033,10.2089,10.7616,0.00136555
2.11414,18.2955,11.413,10.2082,0.797665,24.4169,6.03779,5.59854,0.00187012
5.64559,27.162,6.45689,4.18589,4.75513,8.53008,14.6713,7.63359,0.00286126
6.38639,17.6956,9.7628,1.7955,1.78775,18.3609,2.4792,11.209,0.00152136
6.04488,26.7514,7.40842,7.9162,5.71947,20.9005,14.0893,9.7622,0.000389392
3.06654,28.3003,13.515,7.7637,4.43231,2.9854,12.3057,3.79365,0.00396326
2.76474,29.3275,14.3274,2.8031,6.02621,16.2239,5.76819,7.40063,0.000637445
0.839924,17.1929,6.78831,8.85099,3.72713,28.3344,4.03591,9.69282,0.00211064
3.39055,29.0368,4.91139,1.66562,1.90854,2.25908,15.7627,10.1644,0.00115085
2.57311,14.8988,1.84515,8.66405,5.50237,23.8304,14.0568,8.18451,0.00159039
4.12792,19.843,15.7849,3.94984,2.47306,6.64749,9.99973,2.77601,0.00331642
5.32584,21.7195,9.51719,6.82345,3.78144,30.8897,7.56232,6.95718,0.0024917
4.77584,16.9144,2.01214,8.03477,1.73325,9.82913,14.4205,7.7427,0.00254522
3.74747,2.10064,9.8344,8.30608,6.47773,4.38808,8.20083,11.7411,0.000563779
3.67228,15.4623,2.17338,0.938428,4.50183,21.9622,3.0036,4.77143,0.000370847
0.577892,11.8856,4.2461,11.365,3.14315,23.9613,12.34,9.83147,0.00391141
4.67647,26.5134,9.45015,9.97947,5.53419,9.9487,3.27097,0.888699,0.00318346
3.97031,13.9924,6.94581,1.302,3.36644,13.5622,15.8477,9.42742,0.00230166
