Span,Height,Amplitude,Beam_tip_depth,Beam_start_depth,bc_X_position
-0.730957031,-2.516601563,0.314941406,0.773730469,1.420410156,4.536132813
-1.339355469,-2.516601563,0.314941406,0.773730469,1.420410156,4.536132813
-0.730957031,1.497070313,0.314941406,0.773730469,1.420410156,4.536132813
-0.730957031,-2.516601563,0.253417969,0.773730469,1.420410156,4.536132813
-0.730957031,-2.516601563,0.314941406,0.348535156,1.420410156,4.536132813
-0.730957031,-2.516601563,0.314941406,0.773730469,1.127441406,4.536132813
-0.730957031,-2.516601563,0.314941406,0.773730469,1.420410156,1.274414063
-0.730957031,1.497070313,0.253417969,0.348535156,1.127441406,1.274414063
-1.339355469,-2.516601563,0.253417969,0.348535156,1.127441406,1.274414063
-1.339355469,1.497070313,0.314941406,0.348535156,1.127441406,1.274414063
-1.339355469,1.497070313,0.253417969,0.773730469,1.127441406,1.274414063
-1.339355469,1.497070313,0.253417969,0.348535156,1.420410156,1.274414063
-1.339355469,1.497070313,0.253417969,0.348535156,1.127441406,4.536132813
-1.339355469,1.497070313,0.253417969,0.348535156,1.127441406,1.274414063
1.019042969,-0.016601563,-1.435058594,0.423730469,2.170410156,2.036132813
0.410644531,-0.016601563,-1.435058594,0.423730469,2.170410156,2.036132813
1.019042969,-1.002929688,-1.435058594,0.423730469,2.170410156,2.036132813
1.019042969,-0.016601563,-1.496582031,0.423730469,2.170410156,2.036132813
1.019042969,-0.016601563,-1.435058594,0.698535156,2.170410156,2.036132813
1.019042969,-0.016601563,-1.435058594,0.423730469,1.877441406,2.036132813
1.019042969,-0.016601563,-1.435058594,0.423730469,2.170410156,3.774414063
1.019042969,-1.002929688,-1.496582031,0.698535156,1.877441406,3.774414063
0.410644531,-0.016601563,-1.496582031,0.698535156,1.877441406,3.774414063
0.410644531,-1.002929688,-1.435058594,0.698535156,1.877441406,3.774414063
0.410644531,-1.002929688,-1.496582031,0.423730469,1.877441406,3.774414063
0.410644531,-1.002929688,-1.496582031,0.698535156,2.170410156,3.774414063
0.410644531,-1.002929688,-1.496582031,0.698535156,1.877441406,2.036132813
0.410644531,-1.002929688,-1.496582031,0.698535156,1.877441406,3.774414063
1.894042969,-1.266601563,1.189941406,0.948730469,1.795410156,0.786132813
-0.464355469,-1.266601563,1.189941406,0.948730469,1.795410156,0.786132813
1.894042969,-2.252929688,1.189941406,0.948730469,1.795410156,0.786132813
1.894042969,-1.266601563,-0.621582031,0.948730469,1.795410156,0.786132813
1.894042969,-1.266601563,1.189941406,0.873535156,1.795410156,0.786132813
1.894042969,-1.266601563,1.189941406,0.948730469,2.252441406,0.786132813
1.894042969,-1.266601563,1.189941406,0.948730469,1.795410156,2.524414063
1.894042969,-2.252929688,-0.621582031,0.873535156,2.252441406,2.524414063
