deflection,weight
70.916017,373386.1291
79.156323,381084.2693
81.301878,392107.9643
70.796428,372840.3055
71.149362,348020.8403
93.957363,343292.5948
62.477609,393945.4284
102.220443,352461.7859
102.854849,344729.0842
113.167323,359180.3397
105.472502,385383.7346
79.711979,390338.7139
122.562968,340822.0558
113.029294,358813.2178
33.78182,419125.9277
37.589132,428613.8574
32.273358,414373.5741
33.871977,419050.8227
34.774896,434642.2185
38.179094,390782.0052
35.575562,407971.3498
38.978691,389865.0199
45.917977,403828.6579
43.712257,398999.7768
42.723587,382937.7135
39.214484,427874.2241
41.83762,410759.9926
43.781253,398836.3019
34.190617,417714.2831
50.467135,453649.2169
32.880391,414397.3376
32.761284,404826.5448
33.918178,413711.464
29.550601,459570.8862
34.178913,407216.0854
26.417705,425731.7953
42.167691,470574.6245
42.209996,480938.5198
41.127167,471250.8204
48.488111,420358.6006
39.809496,480531.8625
40.682686,466818.0799
94.692951,331432.7027
76.738701,319751.7079
91.616087,326621.4168
98.324095,344201.8199
95.74299,327043.9862
58.954381,377435.8761
94.346785,354137.7604
58.017456,401181.4765
50.657795,390995.5558
45.865907,376436.8455
48.080653,390818.2959
78.958564,343160.4711
47.476581,367587.0314
48.119323,386660.4381
78.79792,335175.8596
75.03943,332193.8133
74.715138,326454.9872
77.94235,340166.5494
78.191682,351462.7182
41.700707,458009.2687
76.059701,358511.5361
35.52757,492510.7894
37.191839,495295.4142
34.18716,484886.1203
32.915265,471726.4005
66.42279,367701.4102
38.085191,464320.2975
33.991912,487598.5431
38.290313,444369.1891
36.678115,440319.472
34.042816,432309.0536
40.181346,452605.0689
36.766359,420776.2196
43.078143,416403.5995
39.708003,435703.3591
40.558944,380984.2254
42.756305,389410.5923
36.906947,368826.3104
39.829534,400914.7517
33.6844,405108.2724
37.910876,386220.4629
38.63308,377703.3909
31.557601,450601.001
40.194129,475534.0841
36.157862,462357.5451
32.387684,455971.4696
32.238053,466033.7467
58.576988,349859.8812
35.270341,422266.2991
67.2704,357217.0269
80.622892,361235.3997
86.443147,366861.8451
89.716838,356735.2445
55.989215,483373.7401
80.349998,398487.9864
87.717056,373568.4445
68.18267,428243.0019
49.136687,402270.5479
63.627773,419215.8644
66.492747,409136.5907
69.668183,445499.3496
55.201383,477401.6047
66.884848,432397.9008
50.04099,470399.1483
38.963441,447038.6445
37.197237,456780.6936
34.104559,420844.9228
43.912267,392305.0539
35.81706,430738.4354
35.315928,436236.345
51.623635,440984.0079
29.735238,392565.9955
57.240723,453792.9821
51.795915,440899.0958
51.501158,439001.8787
47.769596,459696.9278
51.64361,442174.9946
53.448926,471829.6834
27.621555,408084.3824
31.964164,422852.2013
32.166155,424554.1212
34.210869,406300.079
31.98478,421755.9649
32.052329,422803.967
73.930143,364089.4604
79.300845,368641.7978
69.44351,355285.5718
73.816665,363567.8095
73.806844,362259.3959
63.011311,381408.1961
73.414309,364677.598
58.200822,370728.6784
66.704904,384507.613
62.613815,376238.3973
62.680026,377553.7796
73.928856,358264.0322
63.024174,375028.0794
62.522856,375710.3909
40.88877,354473.4379
43.978335,359421.1178
38.680224,347155.9876
42.572997,368119.2146
41.189607,371762.2657
36.523866,370936.232
45.059456,342853.9713
42.204884,385064.1908
48.736042,398542.4809
42.102555,373186.5269
44.025816,372491.557
49.930963,373381.3247
39.045446,400624.3485
45.697323,390221.8198
50.082789,516941.5886
52.776061,523552.1638
44.936693,507542.1376
46.878722,505587.1863
48.08621,493696.9271
48.611432,535325.0056
47.698906,501974.977
38.52735,472523.9043
44.992807,489842.387
42.803482,493233.4199
43.12437,502235.9378
42.899735,460889.3658
41.325131,497724.591
41.056385,479171.7343
35.697861,490948.5288
32.983143,482307.2659
34.805113,488512.0448
37.37506,500296.5153
36.429427,499304.7457
51.565742,396185.5903
35.608349,491851.7608
53.17821,411459.3204
49.991923,407099.1327
46.816075,396455.9695
48.633342,396583.5078
34.35625,498557.4783
49.063749,404033.562
49.003739,404876.4603
39.51763,359725.2503
68.994814,397724.4956
38.052705,355688.5656
39.481436,365199.8989
39.826657,367541.7695
32.70638,411030.3384
39.202923,360255.3494
31.953439,420110.1699
57.285398,470917.6704
55.198612,462380.5892
54.563644,458156.0591
66.378389,408645.8377
56.461746,466413.5315
55.523867,467038.6338
53.838246,375816.6785
49.244438,369823.1823
62.346811,394620.3312
50.475371,352598.5182
55.174434,344341.878
39.090179,429096.0023
53.552631,376475.448
41.277839,395901.1661
31.24907,368172.5904
40.210555,411246.5908
39.927331,420317.0116
54.203151,336694.8385
38.058162,388602.8899
37.860259,389342.5074
45.749072,465014.7877
42.392428,457278.9031
44.536445,462282.0625
46.530528,470405.8921
46.361774,473713.6178
88.65904,366240.0886
45.897244,466130.867
87.340079,378730.4757
82.168531,375358.9696
79.068531,367820.5892
81.720064,364464.661
42.704956,469638.3308
80.308631,371919.5623
80.486303,372985.6185
118.853813,360164.9293
94.836641,346265.4489
116.949732,358341.3144
118.186804,359623.4268
113.000127,369153.8032
121.032037,358990.2307
117.897665,356571.4898
111.620531,361896.5468
90.353381,349571.2296
89.333809,348177.9193
93.434993,339138.2976
87.270858,348676.5301
89.592455,351131.4517
88.788033,347574.523
44.051529,415924.7799
62.488446,446277.4675
42.658924,412115.763
44.018017,415472.0518
44.766541,424134.9224
44.256259,414845.4049
45.177204,413556.0424
44.656202,416272.0036
65.765699,451010.1807
64.023093,447803.4977
62.985426,438366.7801
63.702199,448536.2966
62.006486,450122.2862
63.993317,447354.6258
30.91702,413783.6087
33.383422,419669.4419
37.614501,437019.9998
28.453972,397473.4341
33.541092,440437.2174
31.001901,412764.5028
32.188303,412117.5155
41.837281,446358.3954
34.788237,427168.6899
46.406598,468303.1237
41.197992,424717.0143
44.947657,453599.7046
42.783685,454388.7492
45.04361,452534.6148
59.72879,397274.6421
63.797785,402571.7021
58.424633,394339.8952
60.462589,408102.4786
59.286347,385130.9176
60.226581,396159.3749
59.961407,393752.7898
59.466158,388954.2141
64.914109,396646.5603
62.814178,382606.2103
63.842591,406237.4057
62.916409,395005.0757
63.19645,397010.334
63.483884,393870.3651
51.866792,423767.9015
34.752153,390011.7437
59.651032,440381.9888
53.827495,420444.1186
51.114887,411481.9898
38.439787,499151.934
51.861413,419727.1893
45.318106,498404.2462
25.272223,439414.7116
31.262979,462676.3982
32.501295,471264.6157
41.190997,389953.3132
31.754959,463507.0562
31.533807,459844.6749
34.435087,459465.3723
42.764585,479832.8455
33.503667,456256.7394
32.854315,448498.1962
33.522525,447856.0687
44.684358,386235.086
35.810345,457740.8086
42.649466,359690.1323
55.287935,378222.4106
56.355812,385021.9241
54.19276,387335.8842
40.656104,451756.9057
52.50228,377607.8387
54.062685,375254.5597
43.943185,412329.9401
39.818767,404848.7034
42.393094,409460.979
48.457583,435311.4077
42.590559,400405.0574
68.457466,336938.6858
39.231377,424491.7101
65.51474,353773.7504
60.938041,350525.5396
58.372283,328971.3135
59.46266,360011.5804
36.016824,422285.472
65.296535,339745.2219
60.009784,348285.5839
92.386864,373620.07
85.31809,368201.6556
90.499013,370806.3696
91.578902,367683.7305
89.774299,404548.1134
55.0171,453258.6181
93.442141,387976.2425
55.789238,490329.5376
53.401253,485441.2319
52.405067,487569.3418
49.715311,452214.7002
81.065457,404810.5931
51.635164,466792.4997
51.804868,482290.031
63.970226,424091.0192
55.202288,412112.0633
66.447825,428965.7814
65.439489,431940.4609
65.001887,432079.1748
56.445364,466403.4794
66.710684,422222.2515
64.98356,485994.0352
53.876705,467381.938
54.658533,464180.3003
54.934332,464877.7878
62.478812,431491.4302
53.405658,474068.7548
56.191903,472661.0949
92.461676,385390.373
80.362161,375898.9291
82.053405,370700.305
85.344008,366506.6823
97.723332,351314.5198
62.237002,425936.6238
92.514994,383400.4262
51.270579,353829.3759
49.812924,360217.6888
46.751141,364598.521
44.206744,374488.4994
69.727117,305596.9928
43.776412,346029.8022
43.787172,343105.2748
44.855558,356988.5346
52.933241,368809.755
46.030351,360433.8067
44.086147,361223.9185
44.576314,364068.0961
66.989277,323686.6326
44.591177,353658.2388
65.440738,335296.4074
75.821535,342408.092
78.631757,341358.8936
79.174439,338256.7699
52.709017,380390.6764
77.710426,348756.0535
77.376511,345635.95
48.057274,480693.7382
30.934976,438920.5951
50.283761,486442.0029
50.037812,490952.1582
48.982239,488474.9178
53.798505,444097.3293
49.514028,478786.5079
60.878248,465556.2837
37.622341,422937.1131
37.593597,418003.9722
38.803491,421768.0443
35.781735,462132.3286
38.840351,430112.8278
39.51811,428876.6995
47.365722,471196.9898
47.680296,471773.8889
51.387178,481016.7446
42.558004,452918.3571
44.306382,447832.7404
75.487338,359551.562
38.160514,481093.9413
70.806695,339976.5419
68.144783,332303.2963
74.475092,354144.4054
68.327008,363581.4787
37.700087,451623.1831
77.548852,329246.2462
71.252631,340369.5518
37.387637,358889.9874
37.634957,359340.3301
41.523159,370975.7857
39.372595,373416.9037
37.532687,375255.228
30.612784,395664.3965
38.134643,374323.9065
39.615828,451759.2801
34.682612,440956.9822
36.637708,440134.4599
38.898587,435287.1553
46.559297,414211.5064
37.418895,440301.2131
39.821309,452289.3283
57.223536,373068.3024
78.012734,396203.6001
61.795274,382082.116
57.217606,373038.3386
57.16722,370494.4411
32.418976,483479.0842
57.14643,370266.5706
35.801086,488694.5125
42.928243,510461.3884
47.115886,520448.0811
47.415204,523245.8866
83.12094,399081.3865
47.120501,523155.3066
47.111408,520417.5813
56.244913,437776.644
41.727375,412324.0922
50.213746,425136.8816
