"Dp,ref,pulm","Dp,ref,sys",Rsys,Rpulm,"sActMax,v","sActMax,a","sPasMax,v","sPasMax,a","p0,Ao","p0,Pa","p0,Ve","p0,Pve",lAo,lPa,lVe,lPve,AVdelay,kAo,kVe,kPa,kPve
11.3342,85.532,1.17566,0.881969,122609.0,92342.3,22087.5,48593.9,0.992988,1.06797,1.11247,0.79038,335.179,171.627,404.321,170.145,0.130657,7.62791,9.03004,8.12864,10.9996
12.5197,99.9861,1.21989,0.851825,105811.0,88027.2,17034.9,46648.1,1.18655,1.11505,1.0964,1.10325,473.997,249.0,420.95,219.975,0.166085,8.70645,10.855,8.64993,8.58133
13.8565,70.9297,1.12431,0.823493,138864.0,77446.5,24663.8,41619.8,0.837685,0.766048,1.19029,1.11038,440.519,159.785,463.641,161.643,0.128297,6.7333,10.9211,9.71768,11.1062
13.8721,82.8349,0.939308,0.855387,93247.3,81208.1,20531.6,46420.0,1.16935,0.988387,1.22453,1.1766,306.932,199.998,479.288,231.346,0.140237,6.33944,8.60249,9.701,8.48549
10.0211,84.5705,0.897941,1.15914,103682.0,76660.4,17152.9,53544.2,0.97607,0.983327,0.976364,0.914282,337.499,206.086,314.91,160.933,0.172813,8.51995,10.5148,8.62288,12.1376
11.6739,104.851,0.980499,0.86633,131109.0,89934.4,25587.6,43566.1,0.918831,1.02578,1.08526,1.15759,309.99,238.717,350.763,167.826,0.198046,8.6052,7.84074,8.70496,7.66034
13.1573,107.977,1.23909,1.02165,93757.1,72719.7,16954.1,51828.5,1.15249,1.15304,0.762086,1.13169,421.838,220.321,406.621,155.846,0.170716,7.3678,10.8931,7.97503,11.7697
13.7784,78.2722,0.824066,0.762745,135648.0,83465.6,19611.7,43493.0,1.10268,1.07013,1.05441,1.18771,437.045,154.783,329.893,181.792,0.136201,7.59683,11.7624,7.46864,11.8955
9.43387,86.3569,0.814283,0.991258,122165.0,99408.3,22202.2,55000.3,0.802382,0.981113,1.0525,0.942704,384.461,178.634,426.395,225.132,0.138837,6.64543,11.1725,7.00444,9.62919
13.5125,100.503,1.13907,1.093,107935.0,95073.7,25012.2,47688.3,1.20573,0.825262,1.1186,0.919132,368.756,210.343,310.223,177.334,0.177507,6.5294,11.4987,8.41166,9.68639
10.7846,90.0699,0.935322,1.03478,123277.0,79410.8,22950.3,55044.8,1.05895,1.18541,0.915794,0.900105,448.717,220.744,487.331,188.635,0.127868,9.79548,12.0723,8.07506,10.8441
13.6705,105.532,1.20765,0.80634,146988.0,104891.0,25351.3,61331.5,0.914578,1.20961,1.17395,0.946991,498.036,222.765,326.014,160.578,0.146136,7.80726,7.65814,9.40482,9.08843
12.8522,80.1886,1.05304,0.790694,130040.0,81277.6,27063.6,58709.4,1.22635,1.23548,1.10691,0.886742,395.236,151.824,442.734,168.267,0.183165,6.16282,9.76465,9.44731,7.82135
13.9464,100.235,1.15597,1.1369,135834.0,77507.7,27000.8,49558.5,1.02797,1.15516,0.759883,0.967019,426.582,172.71,396.166,230.008,0.121245,8.20051,9.06422,7.85628,7.54648
9.42243,87.3279,1.07747,0.95283,93066.6,68717.3,25294.3,42286.9,0.83853,0.908733,0.910299,0.87838,399.735,191.925,308.135,220.412,0.159108,7.71641,11.9135,8.72826,8.41503
13.5605,73.1468,0.99624,0.878213,94131.3,70045.3,25060.0,53459.2,0.767325,1.0456,1.21575,1.20363,302.068,154.255,307.679,228.238,0.184162,7.49759,12.1473,7.75247,11.3006
11.0544,101.653,0.77294,1.22118,127706.0,63323.6,25114.9,54652.2,0.823605,0.790534,1.10597,0.752897,344.71,160.05,342.55,221.369,0.154461,9.49972,10.1183,7.9942,7.72327
9.57565,110.007,0.7632,0.759287,100263.0,86539.9,20541.7,47222.2,1.17976,1.16932,1.12586,0.988887,412.36,217.361,399.988,223.942,0.141095,7.27893,10.1474,8.8336,7.67887
10.1717,108.471,0.867969,0.923043,147333.0,103274.0,24835.8,54243.7,1.1159,0.888858,0.973823,1.24062,366.351,188.1,342.102,222.617,0.123007,7.1212,11.6321,8.64165,9.29229
13.5974,105.061,1.06045,1.16277,109431.0,93919.1,24182.3,60774.9,0.894002,0.782837,1.16686,1.03052,447.416,228.551,447.757,165.199,0.15248,7.44463,9.08903,6.99368,12.1103
11.984,80.9386,0.815979,1.0326,133398.0,89631.6,16843.4,40003.2,0.814407,1.19612,1.09736,1.00538,464.006,200.453,430.216,193.427,0.147869,7.9503,9.67522,8.38174,11.4866
9.172,103.573,1.21155,1.0375,117303.0,84980.4,24762.3,51824.9,1.16483,1.01485,1.09343,1.14637,347.521,173.083,440.863,249.338,0.189218,9.77254,8.67573,8.87178,7.7594
9.64063,93.7803,0.82655,1.04805,95748.9,73433.4,26317.5,38078.7,0.935126,0.918332,0.924421,0.965501,445.431,204.23,368.207,155.141,0.195095,7.43004,8.45621,7.42561,12.4057
9.25208,110.844,0.827726,1.12526,90348.7,103238.0,16590.1,57564.3,1.22462,0.844683,0.785119,0.820714,472.82,238.613,495.99,209.107,0.129107,8.15241,8.99142,6.41909,9.69606
14.0093,81.2851,0.89036,0.899728,99302.0,98866.1,17381.6,50349.4,1.10508,1.12334,1.18604,1.16246,375.884,208.901,322.591,244.522,0.170884,9.29561,10.7075,7.74182,8.40653
12.1563,90.4456,1.10227,1.2488,106444.0,64935.3,22053.1,50619.7,1.23698,1.03875,1.05389,1.13889,495.459,151.552,488.003,180.548,0.167145,7.57005,10.6291,8.18733,8.96095
13.7385,102.029,0.936103,0.751343,110476.0,93775.2,19939.2,53322.0,1.08032,0.769014,1.19095,0.899872,355.283,245.68,375.912,248.452,0.164622,9.72228,11.5572,8.6083,8.28465
13.8212,106.489,0.83485,0.754399,146091.0,88296.9,23149.0,50204.8,0.827693,0.853314,0.83945,1.13511,452.495,201.702,346.083,167.121,0.137421,8.79734,11.5325,7.84025,7.60781
11.6864,101.327,0.902469,1.079,130250.0,74443.2,26685.9,53016.4,1.08882,0.91656,1.22933,1.10292,390.709,185.363,436.835,150.256,0.148346,9.04783,11.4573,7.55388,8.07991
9.39617,101.408,1.23181,0.976478,133787.0,83375.9,21491.1,42699.1,0.978485,0.944194,0.781227,1.07593,439.492,180.793,330.976,247.256,0.174072,7.45319,10.3791,7.953,7.53314
9.34793,78.3905,0.90617,1.21942,103211.0,90386.9,20215.1,40133.1,1.16266,0.929413,1.0432,1.16942,373.14,173.335,301.46,234.665,0.174243,6.44974,12.2339,6.62039,11.2649
12.2519,94.0057,0.951994,0.941634,131380.0,104008.0,21170.1,51512.4,1.00792,0.983348,0.932626,0.941699,462.441,243.92,443.47,196.685,0.150802,6.34891,8.36861,9.36228,8.75064
9.8158,73.8152,0.87551,1.12918,135367.0,70751.8,25638.5,53369.4,1.13096,0.770428,1.22372,1.21577,383.695,236.0,352.771,161.06,0.162261,7.47514,10.5389,6.02144,11.5538
11.1077,69.5764,0.966831,1.08534,96954.6,88539.0,17421.1,42965.7,1.2072,0.947829,0.79492,1.03901,301.687,231.881,341.607,182.714,0.143055,9.1455,9.3827,7.54507,8.60955
11.377,104.493,1.22358,0.934056,144505.0,84856.8,17828.7,52356.6,1.04598,0.860764,0.973592,1.04546,398.682,249.653,370.187,214.227,0.15411,8.12138,10.8075,8.37131,12.3005
10.9531,111.075,1.22806,0.828188,142666.0,96973.0,25075.6,58595.3,1.21463,0.77391,0.762877,1.18266,365.643,242.808,356.456,167.499,0.175944,6.55217,11.5108,7.88792,9.1484
8.83957,80.5894,0.871415,1.23061,102826.0,67304.5,24192.0,59450.4,0.855028,1.07838,0.877505,0.89649,440.166,166.622,336.67,156.557,0.150611,6.66238,8.63494,7.23436,10.1889
11.397,88.6172,0.898993,0.879213,98582.2,87492.3,26143.8,58881.8,1.08513,0.99778,1.06638,1.21203,382.917,177.136,307.153,183.93,0.144683,6.20946,11.4791,9.28377,12.4001
12.9499,108.688,1.07135,0.751797,108756.0,76388.7,18889.2,48907.6,0.833758,0.905825,1.18821,0.783808,455.351,157.277,495.4,172.047,0.147531,8.44338,10.492,7.72401,10.8582
12.1827,68.3699,1.23032,1.0679,124748.0,100467.0,20681.9,40341.4,1.10107,0.759426,1.14921,1.13616,322.619,230.759,487.568,176.077,0.16062,9.71649,7.93436,8.02014,11.9441
11.1997,69.3096,1.01634,0.798401,99116.9,95282.3,18631.0,41274.6,1.0862,0.857855,0.926231,1.09591,498.426,187.08,395.134,237.04,0.136058,8.90188,7.91752,6.38185,11.9931
11.043,89.5747,0.755701,1.12637,93371.7,77357.3,18779.0,38429.2,0.772298,1.07581,1.05001,0.974801,343.269,187.6,363.762,172.787,0.128635,7.06281,12.111,9.99329,12.3021
9.87684,96.7321,0.929607,1.15813,105659.0,65218.2,23399.8,42887.2,0.833317,1.12983,1.19699,1.16652,460.995,200.32,379.805,173.162,0.158243,9.03882,11.3391,6.32676,8.13218
11.5954,84.2693,1.11394,0.921504,106279.0,68343.8,22837.6,49198.2,0.893487,0.900167,0.860255,0.799282,373.482,189.273,476.159,233.433,0.171066,7.86316,8.30321,6.48251,9.27744
12.0158,91.8401,0.756549,0.8576,130776.0,76210.6,22114.3,47453.7,1.00364,0.758724,1.03336,0.801662,417.701,189.129,373.911,197.529,0.153847,8.53444,8.97598,7.96195,8.31083
12.6568,107.627,0.767225,1.16978,143279.0,89793.8,24270.3,39445.4,0.94929,1.14289,1.08482,0.939377,371.098,176.347,350.295,182.12,0.197565,6.76946,8.41233,9.00234,11.5638
10.2243,87.7203,0.835949,0.845067,124937.0,87908.9,20314.9,49330.6,0.79648,1.24134,1.06861,0.925959,333.698,203.288,489.881,223.846,0.166394,8.16564,11.7772,7.10323,9.96847
13.2778,98.0444,0.926558,1.0016,107371.0,86515.5,23492.6,56971.0,1.14311,1.02539,1.11945,0.944009,376.891,181.165,416.855,177.584,0.140938,6.44275,10.2444,8.41641,11.9338
12.2509,84.9676,1.1272,0.77253,134359.0,73022.5,23713.5,59760.8,0.80729,0.884088,1.02653,1.20593,311.344,228.881,494.351,194.35,0.134986,9.49663,11.4023,6.00888,9.16085
12.1508,104.662,0.759788,0.918401,132702.0,97878.5,17170.9,45740.1,0.918159,0.776298,1.24614,1.06763,448.678,203.078,332.264,176.426,0.146165,8.54517,10.9347,7.08023,7.99421
9.76206,68.8845,0.864723,0.908876,145819.0,85611.1,24739.7,59235.3,1.08388,1.15778,1.01765,0.808901,300.655,155.684,480.485,179.277,0.187166,9.34156,9.57381,6.06077,8.63101
13.3955,75.337,1.2241,1.22781,108423.0,95848.2,20583.4,57090.9,0.825177,1.22689,0.952582,0.953108,324.713,178.308,394.252,173.489,0.16625,7.78626,9.66971,7.92812,10.9268
